# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.34055102 -0.34055102 81.96772339 13.04556835 82.00113326 13.05088570 0.02854291 0.00415300 -0.11048653 -1.32580560 -0.00008163
2.00000000 -3.59788036 -1.59788036 110.96341915 17.66037666 111.02173271 17.66965755 0.03240699 0.01439250 0.16544441 1.68278588 0.00003859
3.00000000 -35.97740076 -33.97740076 205.90580443 32.77092659 209.02529432 33.26740882 0.17211984 0.16255162 11.75968790 -2.64710797 -0.00002130
4.00000000 -5.82880328 -3.82880328 213.38099984 33.96064089 213.46059599 33.97330901 0.02730623 0.01793682 -5.77502358 -3.91665054 -0.00002735
5.00000000 -7.43190901 -5.43190901 234.10071066 37.25828528 234.21864999 37.27705591 0.03173065 0.02319162 -1.09021330 -1.47490624 -0.00000709
6.00000000 -267.05495636 -265.05495636 103.13647419 16.41467968 286.27867896 45.56266686 0.93284962 0.92586342 -40.18051799 -78.68109685 0.00002133
7.00000000 -2.37959357 -0.37959357 310.09810687 49.35364655 310.10723685 49.35509963 0.00767345 0.00122407 0.00491139 -0.00550284 -0.00000186
# Bieguny w przedziale od 50 do 64 Hz
1.000000 -5.542641 -3.542641 328.531675 52.287440 328.578426 52.294881 0.016869 0.010782 0.063725 0.031343 0.000002
2.000000 -2.872520 -0.872520 347.019050 55.229797 347.030938 55.231689 0.008277 0.002514 -0.030579 -0.075695 0.000002
3.000000 -2.363445 -0.363445 364.289999 57.978554 364.297665 57.979774 0.006488 0.000998 0.065545 -0.085460 0.000002
4.000000 -6.492364 -4.492364 382.365700 60.855391 382.420814 60.864163 0.016977 0.011747 3.512295 -1.027931 0.000004
5.000000 -15.431683 -13.431683 387.822013 61.723790 388.128910 61.772635 0.039759 0.034606 5.619772 5.828088 -0.000003
# Bieguny w przedziale od 64 do 73 Hz
1.000000 -2.455222 -0.455222 410.022615 65.257126 410.029966 65.258296 0.005988 0.001110 -0.221141 -0.074560 -0.000002
2.000000 -2.060711 -0.060711 429.719410 68.391968 429.724351 68.392755 0.004795 0.000141 -0.021091 0.036355 -0.000003
3.000000 -3.644581 -1.644581 443.255548 70.546312 443.270531 70.548696 0.008222 0.003710 -1.497526 -1.966692 -0.000007
4.000000 -2.846080 -0.846080 448.484408 71.378510 448.493438 71.379948 0.006346 0.001886 -1.903303 -0.832657 -0.000007
# Bieguny w przedziale od 73 do 80 Hz
1.000000 -3.815961 -1.815961 465.649815 74.110470 465.665451 74.112958 0.008195 0.003900 0.508018 0.933468 -0.000002
2.000000 -2.830622 -0.830622 475.662157 75.703983 475.670579 75.705324 0.005951 0.001746 -0.424255 0.760418 -0.000003
3.000000 -3.475936 -1.475936 479.456076 76.307804 479.468676 76.309810 0.007250 0.003078 -0.902998 -0.310070 -0.000003
4.000000 -3.076380 -1.076380 491.379159 78.205422 491.388789 78.206955 0.006261 0.002190 -0.202557 -0.385183 -0.000003
5.000000 -2.489364 -0.489364 495.188830 78.811750 495.195087 78.812746 0.005027 0.000988 -0.163053 -0.132611 -0.000003
