# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.54960274 -0.54960274 82.37251937 13.10999363 82.41196771 13.11627203 0.03093729 0.00666897 0.17321188 1.46340974 0.00008854
2.00000000 -2.59646473 -0.59646473 112.61603590 17.92339878 112.64596385 17.92816197 0.02304978 0.00529504 -0.00482976 -1.73860329 -0.00005203
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -3.353861 -1.353861 215.817069 34.348353 215.843128 34.352501 0.015538 0.006272 0.605544 1.214698 0.000010
2.000000 -3.069589 -1.069589 236.103958 37.577112 236.123911 37.580288 0.013000 0.004530 -0.260253 -4.114718 -0.000024
# Bieguny w przedziale od 50 do 67 Hz
1.000000 -2.171144 -0.171144 355.370757 56.559013 355.377389 56.560068 0.006109 0.000482 -0.001146 -0.051555 -0.000001
2.000000 -5.412670 -3.412670 382.319528 60.848043 382.357841 60.854140 0.014156 0.008925 -1.653514 -1.310825 -0.000003
3.000000 -2.536137 -0.536137 409.783940 65.219140 409.791787 65.220389 0.006189 0.001308 0.257350 0.462439 0.000001
# Bieguny w przedziale od 67 do 80 Hz
1.000000 -2.217850 -0.217850 427.552598 68.047109 427.558350 68.048025 0.005187 0.000510 0.022940 -0.073291 -0.000000
2.000000 -2.944651 -0.944651 448.536801 71.386849 448.546467 71.388387 0.006565 0.002106 -1.056151 -1.682554 -0.000004
3.000000 -4.066448 -2.066448 468.056130 74.493447 468.073794 74.496258 0.008688 0.004415 -0.354656 0.081708 0.000001
4.000000 -2.595179 -0.595179 495.782714 78.906270 495.789506 78.907351 0.005234 0.001200 0.212082 -0.105054 -0.000001
