# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.59261728 -0.59261728 82.30718523 13.09959538 82.34800790 13.10609251 0.03148367 0.00719650 -0.14402288 -1.26707152 -0.00007323
2.00000000 -2.79006299 -0.79006299 112.61605641 17.92340205 112.65061301 17.92890190 0.02476740 0.00701339 0.10230658 1.96287521 0.00005544
# Bieguny w przedziale od 25 do 62 Hz
1.000000 -3.754484 -1.754484 215.459740 34.291483 215.492450 34.296689 0.017423 0.008142 0.572521 1.027991 0.000009
2.000000 -3.740931 -1.740931 234.727478 37.358038 234.757286 37.362782 0.015935 0.007416 -0.594081 -4.327888 -0.000021
3.000000 -7.986444 -5.986444 286.544154 45.604918 286.655430 45.622629 0.027861 0.020884 -0.064973 -0.026419 -0.000001
4.000000 -5.358848 -3.358848 364.103786 57.948917 364.143219 57.955193 0.014716 0.009224 0.119551 0.600241 0.000001
5.000000 -3.202007 -1.202007 380.957710 60.631303 380.971166 60.633444 0.008405 0.003155 0.178876 -0.186759 -0.000001
# Bieguny w przedziale od 62 do 73 Hz
1.000000 -5.947543 -3.947543 396.463378 63.099106 396.507987 63.106206 0.015000 0.009956 0.068650 0.110857 -0.000001
2.000000 -3.484668 -1.484668 410.456891 65.326243 410.471682 65.328597 0.008489 0.003617 -0.919684 -1.731040 -0.000004
3.000000 -4.906164 -2.906164 442.187095 70.376262 442.214311 70.380594 0.011095 0.006572 0.365649 -0.952378 -0.000001
4.000000 -60.603725 -58.603725 451.214184 71.812968 455.265913 72.457820 0.133117 0.128724 -5.573742 -0.368132 -0.000001
# Bieguny w przedziale od 73 do 80 Hz
1.000000 -3.036563 -1.036563 466.719046 74.280643 466.728924 74.282215 0.006506 0.002221 0.072402 0.064384 0.000001
2.000000 -2.818805 -0.818805 481.211296 76.587156 481.219552 76.588470 0.005858 0.001702 -0.122174 -0.171166 -0.000001
3.000000 -13.816167 -11.816167 500.558339 79.666334 500.748976 79.696675 0.027591 0.023597 0.021425 -1.194426 -0.000000
