# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -3.04276762 -1.04276762 81.92501787 13.03877156 81.98150394 13.04776159 0.03711529 0.01271955 0.14068498 1.58816761 0.00007806
2.00000000 -2.91985169 -0.91985169 111.67708309 17.77395980 111.71524704 17.78003378 0.02613655 0.00823390 -0.63362944 -1.33956321 -0.00003901
3.00000000 -11.54651194 -9.54651194 150.22043927 23.90832546 150.66354009 23.97884715 0.07663773 0.06336312 -0.15571525 0.20102829 -0.00000455
4.00000000 -14.67794913 -12.67794913 209.75045472 33.38282168 210.26339540 33.46445873 0.06980744 0.06029556 1.75938489 -8.96098376 -0.00002180
5.00000000 -3.59612889 -1.59612889 214.99138955 34.21694237 215.02146340 34.22172877 0.01672451 0.00742311 -2.38724574 0.07776100 -0.00002033
6.00000000 -2.75540922 -0.75540922 235.89401227 37.54369810 235.91010428 37.54625922 0.01167991 0.00320211 -0.52738655 -0.48387172 -0.00000863
# Bieguny w przedziale od 55 do 78 Hz
1.000000 -6.564603 -4.564603 355.722064 56.614925 355.782632 56.624564 0.018451 0.012830 -0.007018 -0.436847 -0.000001
2.000000 -6.416677 -4.416677 378.942043 60.310499 378.996366 60.319145 0.016931 0.011654 -1.436996 -0.794259 -0.000002
3.000000 -3.941310 -1.941310 408.490160 65.013228 408.509173 65.016254 0.009648 0.004752 1.742814 1.226306 0.000003
4.000000 -10.735793 -8.735793 447.035324 71.147882 447.164218 71.168396 0.024009 0.019536 2.277776 -13.994490 -0.000010
5.000000 -4.022730 -2.022730 449.548104 71.547803 449.566102 71.550667 0.008948 0.004499 -5.625437 2.635445 -0.000008
6.000000 -2.225528 -0.225528 474.474361 75.514940 474.479581 75.515771 0.004690 0.000475 0.033788 -0.270497 -0.000002
7.000000 -3.714028 -1.714028 480.206162 76.427184 480.220525 76.429470 0.007734 0.003569 0.374533 0.605226 0.000001

