# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.73193327 -0.73193327 81.99249541 13.04951094 82.03799585 13.05675256 0.03330083 0.00892188 -0.30783506 -1.30859493 -0.00007235
2.00000000 -3.40972338 -1.40972338 111.27679696 17.71025229 111.32902477 17.71856460 0.03062744 0.01266268 0.75397987 2.09016569 0.00005118
# Bieguny w przedziale od 22 do 45 Hz
1.000000 -16.374673 -14.374673 209.420023 33.330232 210.059220 33.431963 0.077953 0.068432 -1.895617 10.045903 0.000024
2.000000 -3.755026 -1.755026 213.672863 34.007092 213.705856 34.012343 0.017571 0.008212 3.095830 0.110299 0.000024
3.000000 -2.192656 -0.192656 236.111590 37.578327 236.121771 37.579947 0.009286 0.000816 0.202081 0.517705 0.000009
# Bieguny w przedziale od 45 do 58.5 Hz
1.000000 -13.673760 -11.673760 298.113682 47.446266 298.427108 47.496149 0.045819 0.039118 -0.229602 -0.177597 -0.000001
2.000000 -20.263881 -18.263881 322.348970 51.303432 322.985268 51.404702 0.062739 0.056547 -0.274204 -1.201614 -0.000001
3.000000 -5.468056 -3.468056 352.531469 56.107126 352.573874 56.113875 0.015509 0.009836 -0.022306 0.166461 0.000001
4.000000 -4.258870 -2.258870 360.833370 57.428415 360.858503 57.432414 0.011802 0.006260 0.300265 -0.049895 0.000001
# Bieguny w przedziale od 58.5 do 80 Hz
1.000000 -5.181709 -3.181709 374.490209 59.601968 374.526057 59.607673 0.013835 0.008495 0.154314 0.788627 0.000001
2.000000 -20.040780 -18.040780 382.672335 60.904194 383.196749 60.987657 0.052299 0.047080 3.140031 -7.381404 -0.000001
3.000000 -4.353411 -2.353411 409.031055 65.099314 409.054222 65.103001 0.010643 0.005753 -0.911312 2.506748 0.000005
4.000000 -6.719442 -4.719442 446.462635 71.056735 446.513197 71.064782 0.015049 0.010570 5.470055 10.670257 0.000009
5.000000 -2.010191 -0.010191 451.247463 71.818264 451.251941 71.818977 0.004455 0.000023 0.216522 -1.469845 0.000006
6.000000 -3.482084 -1.482084 478.151358 76.100152 478.164037 76.102170 0.007282 0.003100 0.209493 0.367239 0.000001
7.000000 -3.740076 -1.740076 494.241074 78.660910 494.255225 78.663162 0.007567 0.003521 0.248966 0.402825 0.000001
