# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.64797602 -0.64797602 82.41146439 13.11619192 82.45399468 13.12296083 0.03211459 0.00785864 -0.13236236 -1.45842718 -0.00008183
2.00000000 -2.58600690 -0.58600690 112.65733657 17.92997199 112.68701307 17.93469515 0.02294858 0.00520031 0.04564353 1.93373786 0.00005948
3.00000000 -7.55893308 -5.55893308 152.74459894 24.31005795 152.93152054 24.33980745 0.04942691 0.03634917 0.07573447 -0.06001034 0.00000068
4.00000000 -4.23506584 -2.23506584 216.36657871 34.43581052 216.40802241 34.44240649 0.01956982 0.01032802 -1.06050543 -1.33842863 -0.00001097
5.00000000 -3.40659365 -1.40659365 235.71218845 37.51475994 235.73680380 37.51867759 0.01445083 0.00596680 1.29687321 3.94685811 0.00002197
6.00000000 -5.84870588 -3.84870588 266.75047496 42.45465666 266.81458590 42.46486024 0.02192049 0.01442465 0.17496913 0.04375202 0.00000169
7.00000000 -3.06748392 -1.06748392 314.06415107 49.98486209 314.07913086 49.98724620 0.00976660 0.00339877 -0.03029685 0.00527558 0.00000020
# Bieguny w przedziale od 54 do 67 Hz
1.000000 -16.235235 -14.235235 352.728005 56.138406 353.101442 56.197840 0.045979 0.040315 -1.158060 -0.788742 0.000001
2.000000 -3.456988 -1.456988 366.259878 58.292070 366.276192 58.294667 0.009438 0.003978 0.263781 -0.085112 0.000002
3.000000 -5.742411 -3.742411 382.645180 60.899872 382.688266 60.906729 0.015005 0.009779 2.743129 2.136953 0.000004
4.000000 -5.214320 -3.214320 400.883287 63.802557 400.917197 63.807954 0.013006 0.008017 0.256002 -0.300262 -0.000001
# Bieguny w przedziale od 67 do 74 Hz
1.000000 -3.087709 -1.087709 448.607552 71.398109 448.618178 71.399801 0.006883 0.002425 1.235892 3.037619 0.000006
# Bieguny w przedziale od 74 do 80 Hz
1.000000 -2.702378 -0.702378 467.302133 74.373444 467.309946 74.374688 0.005783 0.001503 0.094126 -0.053274 -0.000002
2.000000 -2.862210 -0.862210 474.667360 75.545657 474.675989 75.547030 0.006030 0.001816 -0.162344 0.010150 -0.000001
3.000000 -2.383379 -0.383379 496.164680 78.967061 496.170405 78.967973 0.004804 0.000773 -0.104873 0.168032 0.000000
4.000000 -5.194358 -3.194358 497.670186 79.206670 497.697293 79.210984 0.010437 0.006418 -0.283524 0.042704 0.000001
