# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.48557031 -0.48557031 82.73671707 13.16795750 82.77404431 13.17389831 0.03002838 0.00586621 0.00757126 0.41651209 0.00002445
2.00000000 -29.25555299 -27.25555299 107.38206310 17.09038614 111.29597862 17.71330514 0.26286262 0.24489252 0.15377766 0.05420450 -0.00000761
3.00000000 -2.68365406 -0.68365406 113.47610508 18.06028305 113.50783420 18.06533289 0.02364290 0.00602297 -0.07108307 -0.45093190 -0.00001314
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -3.906241 -1.906241 215.722377 34.333283 215.757741 34.338911 0.018105 0.008835 0.226575 0.681232 0.000004
2.000000 -3.150091 -1.150091 237.021618 37.723162 237.042550 37.726494 0.013289 0.004852 -0.231706 -0.974612 -0.000006
# Bieguny w przedziale od 55 do 76 Hz
1.000000 -2.652504 -0.652504 352.061992 56.032406 352.071984 56.033997 0.007534 0.001853 -0.039053 0.023341 0.000000
2.000000 -5.000159 -3.000159 381.173269 60.665610 381.206063 60.670829 0.013117 0.007870 1.088316 0.432915 0.000001
3.000000 -4.165373 -2.165373 409.843086 65.228553 409.864252 65.231922 0.010163 0.005283 -0.456039 -1.761197 -0.000003
4.000000 -2.947406 -0.947406 441.504374 70.267604 441.514212 70.269169 0.006676 0.002146 -0.075225 1.113105 0.000004
5.000000 -3.063851 -1.063851 448.546680 71.388421 448.557144 71.390087 0.006830 0.002372 0.410377 3.720810 0.000006
6.000000 -3.256832 -1.256832 475.880932 75.738803 475.892076 75.740576 0.006844 0.002641 -0.030407 -0.495301 -0.000001
# Bieguny w przedziale od 76 do 80 Hz
1.000000 -3.762943 -1.762943 487.624852 77.607906 487.639371 77.610216 0.007717 0.003615 0.101001 0.042522 -0.000000
2.000000 -4.261607 -2.261607 499.154372 79.442886 499.172564 79.445781 0.008537 0.004531 0.125411 0.167005 0.000000
