# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -3.45892373 -1.45892373 82.11697438 13.06932239 82.18979034 13.08091140 0.04208459 0.01775067 0.02333586 -0.14074840 -0.00000637
2.00000000 -3.00153861 -1.00153861 112.89820369 17.96830718 112.93809645 17.97465631 0.02657685 0.00886803 0.02432626 -0.32235829 -0.00000808
#3.00000000 -8.38021691 -6.38021691 219.80964599 34.98379170 219.96933538 35.00920705 0.03809721 0.02900503 -0.26207189 -0.63305295 -0.00000067
2.000000 -4.976681 -2.976681 214.462060 34.132697 214.519795 34.141886 0.023199 0.013876 -0.025381 -0.257509 -0.000001
4.00000000 -2.91475263 -0.91475263 236.03094325 37.56549134 236.04893975 37.56835557 0.01234809 0.00387527 0.12962328 -1.03312873 -0.00000558
5.00000000 -27.34593563 -25.34593563 357.19049199 56.84863243 358.23574328 57.01498934 0.07633503 0.07075211 -2.97281618 0.51975811 0.00000198
6.00000000 -3.87466256 -1.87466256 380.64892138 60.58215742 380.66864116 60.58529592 0.01017857 0.00492466 0.54210402 0.84298620 0.00000255
7.00000000 -7.48202998 -5.48202998 426.32476700 67.85169403 426.39041703 67.86214256 0.01754737 0.01285683 2.32436831 3.24440394 0.00000340
8.00000000 -3.41477637 -1.41477637 449.01029128 71.46220736 449.02327598 71.46427394 0.00760490 0.00315079 0.66875447 3.14773470 0.00000533
9.00000000 -4.26057098 -2.26057098 477.18460804 75.94628914 477.20362804 75.94931626 0.00892820 0.00473712 0.10368894 -0.42213639 -0.00000089
