# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.99622518 -0.99622518 82.02469623 13.05463586 82.07940154 13.06334248 0.03650398 0.01213733 0.15351994 1.20200188 0.00006221
2.00000000 -2.81932761 -0.81932761 111.87080271 17.80479124 111.90632291 17.81044445 0.02519364 0.00732155 -0.26375620 -1.01254420 -0.00002821
3.00000000 -18.46995607 -16.46995607 209.35612800 33.32006264 210.16928322 33.44948031 0.08788133 0.07836519 6.45676287 -5.96508552 -0.00002150
4.00000000 -4.78397440 -2.78397440 214.53927684 34.14498640 214.59260872 34.15347443 0.02229329 0.01297330 -3.89405920 -1.70134930 -0.00002313
5.00000000 -4.54963915 -2.54963915 235.96899409 37.55563183 236.01285005 37.56261172 0.01927708 0.01080297 -1.00225879 -0.93963561 -0.00001000
6.00000000 -17.19034249 -15.19034249 299.91685331 47.73324972 300.40909902 47.81159306 0.05722311 0.05056552 0.20312387 -0.16863866 -0.00000180
7.00000000 -10.72079062 -8.72079062 320.09117349 50.94409250 320.27065851 50.97265843 0.03347416 0.02722944 0.21551762 -0.04076582 -0.00000139
8.00000000 -318.08317439 -316.08317439 124.86335436 19.87262006 341.71298350 54.38531044 0.93084896 0.92499609 -33.08012876 -53.46135066 -0.00000066
# Bieguny w przedziale od 55 do 78 Hz
1.00000000 -2.48937179 -0.48937179 348.20654811 55.41879335 348.21544641 55.42020956 0.00714894 0.00140537 -0.00174144 0.00912963 0.00000110
2.00000000 -4.66820286 -2.66820286 362.52185419 57.69714507 362.55190922 57.70192848 0.01287596 0.00735951 -0.05511323 -0.15597271 -0.00000091
3.00000000 -2.58971986 -0.58971986 375.51369075 59.76486008 375.52262061 59.76628131 0.00689631 0.00157040 -0.00355602 0.05281465 -0.00000068
4.00000000 -13.27643770 -11.27643770 385.31859878 61.32535966 385.54725569 61.36175154 0.03443531 0.02924787 -0.21006785 -3.61249776 -0.00000133
5.00000000 -10.53757085 -8.53757085 396.86136450 63.16244788 397.00123808 63.18470945 0.02654292 0.02150515 1.97033564 -0.56804203 -0.00000154
6.00000000 -5.04830107 -3.04830107 410.63188522 65.35409432 410.66291591 65.35903301 0.01229305 0.00742288 0.49854099 1.26833662 0.00000142
7.00000000 -2.51915795 -0.51915795 425.66503606 67.74669459 425.67249040 67.74788099 0.00591807 0.00121962 0.02889461 -0.03265726 -0.00000087
8.00000000 -2.38454886 -0.38454886 442.54243764 70.43281648 442.54886192 70.43383893 0.00538822 0.00086894 -0.16437705 -0.39373873 -0.00000108
9.00000000 -2.27456788 -0.27456788 447.81200776 71.27149461 447.81778432 71.27241398 0.00507923 0.00061312 0.36918807 0.09871310 0.00000073
10.00000000 -2.53676102 -0.53676102 464.11321441 73.86591223 464.12014710 73.86701560 0.00546574 0.00115651 -0.07321417 -0.00697261 0.00000089
11.00000000 -2.32725194 -0.32725194 476.67464550 75.86512608 476.68032660 75.86603025 0.00488221 0.00068652 0.06076494 -0.36183138 -0.00000065
12.00000000 -1.49024086 0.50975914 481.09346810 76.56840354 481.09577619 76.56877088 0.00309760 -0.00105958 -0.02150334 0.06933023 0.00000098
