# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.65956541 -0.65956541 82.32266690 13.10205937 82.36561645 13.10889500 0.03228975 0.00800778 0.19205231 1.42375630 0.00008174
2.00000000 -2.78286734 -0.78286734 112.26781126 17.86797711 112.30229649 17.87346561 0.02478015 0.00697107 -0.11982216 -2.06071410 -0.00005785
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -24.875651 -22.875651 176.746572 28.130091 178.488511 28.407329 0.139368 0.128163 -0.186869 0.334032 -0.000002
2.000000 -3.743776 -1.743776 216.065741 34.387931 216.098173 34.393092 0.017324 0.008069 -1.289012 -1.189434 -0.000013
3.000000 -3.455952 -1.455952 234.644198 37.344784 234.669647 37.348834 0.014727 0.006204 0.822727 4.118282 0.000022
4.000000 -10.482437 -8.482437 305.053676 48.550800 305.233724 48.579456 0.034342 0.027790 -0.113044 -0.020885 0.000000
# Bieguny w przedziale od 50 do 68.5 Hz
1.000000 -8.073540 -6.073540 362.320051 57.665027 362.409990 57.679341 0.022277 0.016759 -0.213671 -1.338531 -0.000001
2.000000 -3.603918 -1.603918 410.052021 65.261806 410.067858 65.264327 0.008789 0.003911 1.092163 2.757957 0.000005
# Bieguny w przedziale od 68.5 do 75 Hz
1.000000 -4.355290 -2.355290 442.305630 70.395127 442.327072 70.398540 0.009846 0.005325 -0.082708 2.051119 0.000003
2.000000 -2.012056 -0.012056 449.009944 71.462152 449.014452 71.462870 0.004481 0.000027 0.240484 0.333091 0.000003
3.000000 -3.927359 -1.927359 465.516586 74.089266 465.533153 74.091902 0.008436 0.004140 -0.100906 -0.449406 -0.000001
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -2.067935 -0.067935 476.760948 75.878862 476.765433 75.879575 0.004337 0.000142 -0.132328 -0.163759 0.000000
2.000000 -3.204889 -1.204889 480.684369 76.503293 480.695053 76.504994 0.006667 0.002507 0.479054 0.376062 0.000001
3.000000 -11.915136 -9.915136 500.018221 79.580372 500.160166 79.602963 0.023823 0.019824 0.308086 0.870145 0.000000
