# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.56353251 -0.56353251 81.91314758 13.03688234 81.95325158 13.04326509 0.03128042 0.00687627 -0.08481908 -0.97674507 -0.00006095
2.00000000 -2.89751979 -0.89751979 111.25597655 17.70693862 111.29370125 17.71294269 0.02603489 0.00806443 -0.20593993 -1.61774534 -0.00004581
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -10.554942 -8.554942 182.994712 29.124513 183.298858 29.172919 0.057583 0.046672 0.351031 0.024551 -0.000004
2.000000 -7.925708 -5.925708 211.365347 33.639840 211.513892 33.663481 0.037471 0.028016 -2.494018 -3.157673 -0.000014
3.000000 -3.216617 -1.216617 235.199575 37.433175 235.221569 37.436675 0.013675 0.005172 0.951588 2.508224 0.000014
4.000000 -6.070567 -4.070567 265.008226 42.177369 265.077746 42.188434 0.022901 0.015356 -0.108160 0.052613 0.000003
# Bieguny w przedziale od 45 do 78 Hz
1.000000 -6.990655 -4.990655 288.260129 45.878024 288.344882 45.891513 0.024244 0.017308 -0.051894 -0.070921 0.000003
2.000000 -3.125189 -1.125189 301.627112 48.005446 301.643302 48.008023 0.010361 0.003730 0.036349 0.020642 0.000003
3.000000 -4.665167 -2.665167 316.189803 50.323170 316.224216 50.328647 0.014753 0.008428 0.021194 0.193925 0.000003
4.000000 -5.917070 -3.917070 369.464661 58.802127 369.512039 58.809668 0.016013 0.010601 -0.402193 -1.404802 0.000003
5.000000 -13.582808 -11.582808 372.343842 59.260363 372.591505 59.299780 0.036455 0.031087 3.717518 6.817574 0.000003
6.000000 -14.512428 -12.512428 387.953319 61.744688 388.224662 61.787874 0.037382 0.032230 -7.464924 1.499438 0.000004
7.000000 -5.492035 -3.492035 402.356428 64.037014 402.393908 64.042980 0.013648 0.008678 -1.151840 0.430464 0.000005
8.000000 -5.619033 -3.619033 424.864250 67.619246 424.901405 67.625159 0.013224 0.008517 4.497701 0.024640 0.000004
9.000000 -3.365953 -1.365953 446.051507 70.991302 446.064206 70.993323 0.007546 0.003062 -0.214205 0.382128 0.000003
10.000000 -3.200903 -1.200903 464.876683 73.987422 464.887702 73.989176 0.006885 0.002583 0.202834 0.026637 0.000004
11.000000 -22.648213 -20.648213 468.911717 74.629618 469.458347 74.716617 0.048243 0.043983 3.499662 16.907772 0.000004
12.000000 -5.863672 -3.863672 487.486403 77.585871 487.521667 77.591483 0.012028 0.007925 -0.393323 0.252000 0.000003
