# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.73089161 -0.73089161 82.62080443 13.14950943 82.66592462 13.15669053 0.03303528 0.00884151 0.13387218 0.90537381 0.00005157
2.00000000 -2.63079263 -0.63079263 112.76665401 17.94737040 112.79733741 17.95225382 0.02332318 0.00559227 -0.07785933 -1.34855185 -0.00003927
3.00000000 -22.49261195 -20.49261195 154.65535233 24.61416380 156.28242255 24.87312007 0.14392285 0.13112551 -0.32278732 0.06408016 0.00000135
# Bieguny w przedziale od 28 do 45 Hz
1.000000 -4.053400 -2.053400 215.450094 34.289948 215.488221 34.296015 0.018810 0.009529 -0.360981 -1.009806 -0.000006
2.000000 -3.669489 -1.669489 236.316736 37.610977 236.345224 37.615511 0.015526 0.007064 0.499994 2.894961 0.000014
3.000000 -14.235554 -12.235554 278.218795 44.279897 278.582751 44.337822 0.051100 0.043921 0.235775 -0.024779 0.000001
# Bieguny w przedziale od 56.5 do 70 Hz
1.000000 -4.523360 -2.523360 363.812242 57.902517 363.840361 57.906992 0.012432 0.006935 0.170738 0.274482 0.000001
2.000000 -8.123357 -6.123357 379.414266 60.385656 379.501217 60.399495 0.021405 0.016135 0.321944 0.614188 0.000001
3.000000 -3.605916 -1.605916 410.727259 65.369274 410.743087 65.371793 0.008779 0.003910 -0.494823 -0.531797 -0.000001
4.000000 -4.856662 -2.856662 434.997637 69.232024 435.024748 69.236339 0.011164 0.006567 0.015348 0.044038 0.000000
# Bieguny w przedziale od 70 do 73 Hz
1.000000 -2.226499 -0.226499 442.306905 70.395330 442.312509 70.396222 0.005034 0.000512 -0.003221 -0.055328 0.000000
2.000000 -2.489535 -0.489535 448.421398 71.368482 448.428309 71.369582 0.005552 0.001092 0.151498 0.130802 0.000000

# Bieguny w przedziale od 73 do 80 Hz
1.000000 -4.097385 -2.097385 467.247772 74.364793 467.265737 74.367652 0.008769 0.004489 0.187918 0.106729 0.000000
2.000000 -2.396195 -0.396195 477.308750 75.966047 477.314765 75.967004 0.005020 0.000830 0.220282 0.072492 0.000000
3.000000 -4.618841 -2.618841 483.535226 76.957021 483.557286 76.960532 0.009552 0.005416 -0.007153 0.205832 -0.000000
4.000000 -2.058182 -0.058182 494.921684 78.769233 494.925964 78.769914 0.004159 0.000118 0.076570 0.034812 -0.000000
