# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.74427810 -0.74427810 82.40874358 13.11575889 82.45442426 13.12302920 0.03328236 0.00902654 -0.24714722 -1.45059207 -0.00008591
2.00000000 -2.70210008 -0.70210008 112.50863022 17.90630464 112.54107347 17.91146814 0.02400990 0.00623861 0.27952668 2.08590300 0.00006012
3.00000000 -3.94257724 -1.94257724 214.44865340 34.13056323 214.48489192 34.13633077 0.01838161 0.00905694 1.55531965 1.46682787 0.00001492
4.00000000 -3.92251975 -1.92251975 234.30905532 37.29144437 234.34188607 37.29666954 0.01673845 0.00820391 -0.94229363 -4.82090674 -0.00002292
# Bieguny w przedziale od 55 do 63 Hz
1.000000 -6.867934 -4.867934 360.344294 57.350576 360.409737 57.360991 0.019056 0.013507 0.161009 0.977400 0.000001
2.000000 -3.993374 -1.993374 381.681700 60.746529 381.702589 60.749854 0.010462 0.005222 0.094681 -0.654397 -0.000002
# Bieguny w przedziale od 63 do 68 Hz
1.000000 -3.963999 -1.963999 409.841077 65.228233 409.860246 65.231284 0.009672 0.004792 -2.707188 -1.145762 -0.000005
# Bieguny w przedziale od 68 do 78 Hz
1.000000 -4.469311 -2.469311 443.410506 70.570974 443.433029 70.574559 0.010079 0.005569 -0.967141 -1.411073 -0.000001
2.000000 -3.042412 -1.042412 447.911877 71.287389 447.922209 71.289034 0.006792 0.002327 1.068961 -1.486569 -0.000002
3.000000 -2.702354 -0.702354 458.482869 72.969815 458.490832 72.971082 0.005894 0.001532 -0.059647 -0.127893 -0.000001
4.000000 -2.078509 -0.078509 469.589556 74.737499 469.594156 74.738231 0.004426 0.000167 0.012835 -0.105912 -0.000001
5.000000 -2.982384 -0.982384 478.696249 76.186874 478.705540 76.188353 0.006230 0.002052 -0.210241 -0.457377 -0.000001
