# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -3.03339079 -1.03339079 82.30123408 13.09864823 82.35711621 13.10754214 0.03683216 0.01254768 -0.00818303 -1.25956164 -0.00006024
2.00000000 -2.77583440 -0.77583440 113.08621035 17.99822937 113.12027328 18.00365066 0.02453879 0.00685849 0.15923757 1.47772348 0.00004264
3.00000000 -4.62900906 -2.62900906 217.17929595 34.56515849 217.22862223 34.57300901 0.02130939 0.01210250 -0.81324400 -0.73095756 -0.00000637
4.00000000 -3.29709623 -1.29709623 235.59961924 37.49684399 235.62268870 37.50051561 0.01399312 0.00550497 0.55992960 2.62234814 0.00001474
5.00000000 -21.24632070 -19.24632070 280.38420444 44.62453210 281.18803005 44.75246492 0.07555912 0.06844644 -0.06137013 -0.22845785 0.00000097
6.00000000 -115.04843361 -113.04843361 269.44705976 42.88383146 292.98098930 46.62937268 0.39268225 0.38585587 3.77860567 2.13905067 0.00000133
# Bieguny w przedziale od 50 do 68.5 Hz
1.000000 -5.011873 -3.011873 319.207946 50.803523 319.247290 50.809784 0.015699 0.009434 0.021084 0.029605 0.000000
2.000000 -3.612744 -1.612744 361.700547 57.566430 361.718589 57.569301 0.009988 0.004459 0.036561 -0.089057 -0.000000
3.000000 -6.039995 -4.039995 382.610596 60.894368 382.658268 60.901955 0.015784 0.010558 -0.724648 0.098988 0.000001
4.000000 -4.032782 -2.032782 409.392749 65.156880 409.412611 65.160041 0.009850 0.004965 0.338991 0.214757 0.000001
5.000000 -2.168186 -0.168186 429.974123 68.432507 429.979589 68.433377 0.005043 0.000391 -0.063468 -0.008188 -0.000000
# Bieguny w przedziale od 68.5 do 74.4 Hz
1.000000 -4.535357 -2.535357 441.926383 70.334768 441.949654 70.338472 0.010262 0.005737 -0.182606 0.472591 0.000001
2.000000 -2.436445 -0.436445 448.168019 71.328156 448.174642 71.329210 0.005436 0.000974 -0.297089 0.183717 0.000001
3.000000 -3.329703 -1.329703 464.652297 73.951710 464.664227 73.953609 0.007166 0.002862 0.013866 -0.167573 0.000000
# Bieguny w przedziale od 74.4 do 80 Hz
1.000000 -9.470100 -7.470100 478.472343 76.151239 478.566052 76.166153 0.019788 0.015609 0.795010 0.440318 0.000001
2.000000 -3.704378 -1.704378 493.650184 78.566867 493.664082 78.569079 0.007504 0.003453 0.352643 0.290993 0.000001
