# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.58043715 -0.58043715 82.67898172 13.15876863 82.71924004 13.16517594 0.03119513 0.00701695 -0.02485512 -0.53218037 -0.00003027
2.00000000 -2.62761897 -0.62761897 112.93720300 17.97451412 112.96776622 17.97937840 0.02325990 0.00555573 0.01111025 1.04171992 0.00003081
# Bieguny w przedziale od 30 do 45 Hz
1.000000 -3.478057 -1.478057 216.612117 34.474889 216.640038 34.479333 0.016055 0.006823 0.244430 0.275601 0.000004
2.000000 -3.287880 -1.287880 236.472846 37.635822 236.495702 37.639460 0.013902 0.005446 -0.295922 -2.211348 -0.000012
# Bieguny w przedziale od 55 do 75 Hz
1.000000 -5.109501 -3.109501 360.889138 57.437290 360.925307 57.443047 0.014157 0.008615 0.042837 -0.398460 -0.000001
2.000000 -5.207451 -3.207451 381.065468 60.648453 381.101048 60.654116 0.013664 0.008416 -0.519603 -0.927760 -0.000002
3.000000 -3.546226 -1.546226 410.200053 65.285366 410.215382 65.287806 0.008645 0.003769 0.422031 1.763632 0.000003
4.000000 -4.315962 -2.315962 443.288451 70.551548 443.309461 70.554892 0.009736 0.005224 0.223540 1.796130 0.000002
5.000000 -2.029812 -0.029812 448.715659 71.415315 448.720250 71.416046 0.004524 0.000066 -0.321517 0.880422 0.000003
6.000000 -2.752211 -0.752211 464.821837 73.978693 464.829985 73.979990 0.005921 0.001618 0.019667 -0.058082 0.000001
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -2.351006 -0.351006 476.491245 75.835937 476.497044 75.836860 0.004934 0.000737 -0.053076 -0.122271 -0.000000
2.000000 -2.641508 -0.641508 480.598752 76.489667 480.606011 76.490822 0.005496 0.001335 0.083720 0.179612 0.000000
3.000000 -2.250607 -0.250607 490.930119 78.133955 490.935277 78.134776 0.004584 0.000510 -0.019982 0.038018 0.000000
4.000000 -2.751401 -0.751401 495.285416 78.827122 495.293058 78.828338 0.005555 0.001517 -0.103218 0.033601 0.000000
