# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.40288950 -0.40288950 82.86178528 13.18786272 82.89661838 13.19340658 0.02898658 0.00486014 -0.12046307 -0.66773939 -0.00004161
2.00000000 -2.57222658 -0.57222658 113.20472301 18.01709125 113.23394217 18.02174162 0.02271604 0.00505349 -0.10516357 -1.18081220 -0.00003665
3.00000000 -18.07270921 -16.07270921 144.59295557 23.01268361 145.71803463 23.19174551 0.12402521 0.11030007 -0.15407253 0.06270433 -0.00000340
# Bieguny w przedziale od 30 do 75 Hz
1.000000 -5.203856 -3.203856 208.461012 33.177600 208.525954 33.187936 0.024955 0.015364 0.157005 -0.133190 -0.000002
2.000000 -3.201531 -1.201531 236.550880 37.648242 236.572544 37.651690 0.013533 0.005079 -0.317082 -4.003226 -0.000023
3.000000 -7.145239 -5.145239 269.977497 42.968253 270.072034 42.983299 0.026457 0.019051 -0.145899 0.018228 0.000004
4.000000 -4.486617 -2.486617 381.004342 60.638724 381.030758 60.642929 0.011775 0.006526 0.809940 1.156259 0.000003
5.000000 -65.625277 -63.625277 385.415515 61.340784 390.962653 62.223639 0.167856 0.162740 -7.859500 9.474598 0.000002
6.000000 -4.592414 -2.592414 426.219489 67.834938 426.244229 67.838876 0.010774 0.006082 0.884244 2.722366 0.000004
7.000000 -2.843041 -0.843041 448.451058 71.373203 448.460070 71.374637 0.006340 0.001880 0.079432 1.954119 0.000004
8.000000 -7.911479 -5.911479 468.544031 74.571099 468.610819 74.581728 0.016883 0.012615 -0.668837 -0.293575 0.000001
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -4.742966 -2.742966 478.054552 76.084745 478.078080 76.088490 0.009921 0.005737 0.230906 0.302313 0.000001
2.000000 -2.406230 -0.406230 483.897810 77.014728 483.903793 77.015681 0.004973 0.000839 0.012893 0.068449 0.000001
3.000000 -3.531951 -1.531951 495.492558 78.860090 495.505146 78.862093 0.007128 0.003092 0.354905 -0.149811 0.000000
4.000000 -3.173072 -1.173072 500.648415 79.680670 500.658471 79.682270 0.006338 0.002343 0.506233 0.047950 0.000001
5.000000 -7.623950 -5.623950 501.026930 79.740912 501.084932 79.750144 0.015215 0.011224 -1.168772 1.270625 0.000001
