# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -3.97509781 -1.97509781 81.90552217 13.03566872 82.00192659 13.05101196 0.04847566 0.02408599 -0.03924812 0.16829182 0.00000633
2.00000000 -2.75439532 -0.75439532 112.51318565 17.90702966 112.54689528 17.91239471 0.02447331 0.00670294 -0.04181993 0.25377228 0.00000689
3.00000000 -4.64483460 -2.64483460 218.77647311 34.81935713 218.82577471 34.82720372 0.02122618 0.01208649 0.10822515 0.24163709 0.00000057
4.00000000 -3.63788560 -1.63788560 236.01226580 37.56251873 236.04030126 37.56698071 0.01541214 0.00693901 -0.00904487 1.16484198 0.00000470
# Bieguny w przedziale od 50 do 74 Hz
1.000000 -7.424925 -5.424925 316.712917 50.406426 316.799939 50.420276 0.023437 0.017124 0.030041 -0.015045 -0.000001
#2.000000 -20.447148 -18.447148 343.737989 54.707600 344.345598 54.804304 0.059380 0.053572 0.921445 0.203485 -0.000001
3.000000 -14.881019 -12.881019 372.886512 59.346732 373.183327 59.393971 0.039876 0.034517 1.470972 -0.472638 -0.000002
4.000000 -4.415509 -2.415509 384.251749 61.155565 384.277118 61.159603 0.011490 0.006286 -0.646763 0.037616 -0.000001
5.000000 -1.698214 0.301786 410.872128 65.392330 410.875637 65.392889 0.004133 -0.000734 -0.117484 -0.113992 -0.000002
6.000000 -5.422589 -3.422589 428.991704 68.276150 429.025974 68.281605 0.012639 0.007978 -2.724925 -0.581238 -0.000002
7.000000 -15.858198 -13.858198 442.919786 70.492873 443.203586 70.538042 0.035781 0.031268 -0.931305 -4.642054 -0.000002
8.000000 -2.486392 -0.486392 449.069560 71.471640 449.076443 71.472736 0.005537 0.001083 -0.488050 -2.822913 -0.000007
# Bieguny w przedziale od 74 do 82 Hz
1.000000 -1.594250 0.405750 468.978598 74.640262 468.981307 74.640693 0.003399 -0.000865 0.007440 -0.014358 -0.000001
2.000000 -1.213035 0.786965 474.675046 75.546880 474.676596 75.547127 0.002555 -0.001658 -0.029257 -0.000933 0.000001
3.000000 -3.283119 -1.283119 481.665125 76.659385 481.676314 76.661166 0.006816 0.002664 0.337234 -0.015390 0.000000
4.000000 -6.889562 -4.889562 490.264767 78.028061 490.313173 78.035765 0.014051 0.009972 0.310341 -0.194509 -0.000001
5.000000 -2.109640 -0.109640 498.936475 79.408206 498.940935 79.408916 0.004228 0.000220 0.036059 -0.173053 -0.000001
6.000000 -1.657138 0.342862 504.784994 80.339027 504.787714 80.339460 0.003283 -0.000679 0.031631 -0.013453 -0.000001
7.000000 -1.799012 0.200988 514.234632 81.842984 514.237779 81.843484 0.003498 -0.000391 -0.018457 -0.015139 -0.000001

