# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.26319766 -0.26319766 83.02558133 13.21393167 83.05642190 13.21884010 0.02724892 0.00316890 0.00805094 0.12773999 0.00000809
2.00000000 -2.71462129 -0.71462129 113.73421640 18.10136274 113.76660824 18.10651806 0.02386132 0.00628147 0.00836159 0.24324609 0.00000707
3.00000000 -8.36040388 -6.36040388 139.85072002 22.25793339 140.10039345 22.29767015 0.05967438 0.04539890 0.01670461 0.01084445 0.00000136
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -11.589385 -9.589385 182.573848 29.057530 182.941312 29.116014 0.063350 0.052418 0.008640 -0.093815 -0.000001
2.000000 -5.974581 -3.974581 212.941063 33.890623 213.024863 33.903960 0.028046 0.018658 0.048819 -0.252650 -0.000002
3.000000 -2.836693 -0.836693 236.704450 37.672683 236.721447 37.675388 0.011983 0.003535 -0.004339 -1.228654 -0.000008
4.000000 -5.069737 -3.069737 304.157324 48.408142 304.199572 48.414866 0.016666 0.010091 0.058173 0.001477 -0.000000
# Bieguny w przedziale od 50 do 80 Hz
1.000000 -9.488667 -7.488667 323.247358 51.446415 323.386594 51.468575 0.029342 0.023157 -0.039162 0.266568 0.000000
2.000000 -7.351595 -5.351595 347.052208 55.235074 347.130063 55.247465 0.021178 0.015417 -0.062814 0.051115 -0.000000
3.000000 -6.363442 -4.363442 382.027283 60.801530 382.080277 60.809965 0.016655 0.011420 -0.786775 -0.862739 -0.000001
4.000000 -4.039345 -2.039345 413.700129 65.842420 413.719848 65.845559 0.009763 0.004929 -1.122649 -0.284636 -0.000002
5.000000 -2.834240 -0.834240 437.948455 69.701661 437.957626 69.703121 0.006471 0.001905 -0.460774 0.305070 0.000002
6.000000 -2.558282 -0.558282 448.843522 71.435665 448.850813 71.436826 0.005700 0.001244 0.363426 1.419258 0.000003
7.000000 -4.759000 -2.759000 483.068955 76.882812 483.092396 76.886543 0.009851 0.005711 0.162761 -0.057737 0.000001
