# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.52777670 -0.52777670 82.84003928 13.18440174 82.87859654 13.19053832 0.03049975 0.00636807 -0.04252187 -0.41547953 -0.00002456
2.00000000 -2.63581849 -0.63581849 113.28857391 18.03043653 113.31923278 18.03531604 0.02326012 0.00561086 0.02733525 0.54311898 0.00001592
# Bieguny w przedziale od 30 do 65 Hz
1.000000 -2.591291 -0.591291 215.293398 34.265009 215.308992 34.267490 0.012035 0.002746 -0.128169 -0.457117 -0.000004
2.000000 -2.936735 -0.936735 236.268614 37.603318 236.286864 37.606222 0.012429 0.003964 0.086931 1.346518 0.000008
3.000000 -6.747961 -4.747961 361.534275 57.539967 361.597245 57.549989 0.018662 0.013131 0.484706 -1.417118 -0.000003
4.000000 -4.380469 -2.380469 380.992578 60.636852 381.017759 60.640860 0.011497 0.006248 -1.126970 -2.225851 -0.000004
# Bieguny w przedziale od 65 do 75 Hz
1.000000 -2.915928 -0.915928 410.444946 65.324342 410.455304 65.325991 0.007104 0.002231 0.279143 0.012878 0.000000
2.000000 -4.778983 -2.778983 424.970941 67.636226 424.997811 67.640502 0.011245 0.006539 0.159417 0.313056 0.000001
3.000000 -3.805925 -1.805925 442.772173 70.469380 442.788530 70.471983 0.008595 0.004079 -0.320768 -1.678096 -0.000003
4.000000 -2.508584 -0.508584 448.857785 71.437935 448.864795 71.439051 0.005589 0.001133 0.017634 -1.701375 -0.000004
5.000000 -8.236019 -6.236019 464.438549 73.917691 464.511569 73.929312 0.017730 0.013425 -1.136860 0.044024 0.000001
6.000000 -4.000123 -2.000123 468.085157 74.498067 468.102249 74.500787 0.008545 0.004273 0.217218 -0.149424 0.000001
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -2.161355 -0.161355 476.775907 75.881242 476.780806 75.882022 0.004533 0.000338 0.163406 0.189607 0.000001
2.000000 -2.279851 -0.279851 496.597382 79.035928 496.602616 79.036761 0.004591 0.000564 0.076719 -0.011334 0.000000
