# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.69127670 -0.69127670 82.21645547 13.08515529 82.26049186 13.09216390 0.03271652 0.00840351 0.19473456 1.64361755 0.00008960
2.00000000 -3.03143764 -1.03143764 111.84869519 17.80127272 111.88976821 17.80780969 0.02709307 0.00921834 -0.33219202 -2.44814255 -0.00006705
# Bieguny w przedziale od 24 do 50 Hz
1.000000 -4.425238 -2.425238 214.964016 34.212586 215.009560 34.219834 0.020582 0.011280 2.560442 1.788634 0.000018
2.000000 -3.056259 -1.056259 235.533575 37.486333 235.553403 37.489488 0.012975 0.004484 -1.448448 -5.068513 -0.000033
3.000000 -6.401863 -4.401863 280.193596 44.594196 280.266721 44.605834 0.022842 0.015706 0.111508 0.037519 -0.000002
# Bieguny w przedziale od 50 do 66 Hz
1.000000 -4.448800 -2.448800 323.463095 51.480750 323.493687 51.485619 0.013752 0.007570 -0.054725 0.042942 -0.000001
2.000000 -3.368045 -1.368045 357.772786 56.941307 357.788639 56.943831 0.009414 0.003824 -0.326490 -0.116811 -0.000002
3.000000 -5.994367 -3.994367 380.425593 60.546614 380.472816 60.554129 0.015755 0.010498 -3.773785 0.193153 -0.000005
4.000000 -4.611548 -2.611548 394.528294 62.791128 394.555245 62.795418 0.011688 0.006619 -0.277433 0.141273 0.000002
5.000000 -3.448452 -1.448452 410.845482 65.388089 410.859954 65.390393 0.008393 0.003525 0.687089 -0.649831 -0.000001
# Bieguny w przedziale od 66 do 75 Hz
1.000000 -4.095244 -2.095244 415.162779 66.075208 415.182976 66.078423 0.009864 0.005047 -0.254256 -0.220818 -0.000001
2.000000 -6.999848 -4.999848 430.933056 68.585126 430.989904 68.594174 0.016241 0.011601 -0.569558 0.359277 -0.000001
3.000000 -5.949024 -3.949024 448.730106 71.417615 448.769539 71.423890 0.013256 0.008800 -1.749093 -5.352163 -0.000006
4.000000 -2.589096 -0.589096 449.546594 71.547563 449.554050 71.548749 0.005759 0.001310 -1.481218 1.098436 -0.000006
5.000000 -3.526843 -1.526843 467.036898 74.331231 467.050214 74.333350 0.007551 0.003269 -0.600050 0.185596 0.000002
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -2.733530 -0.733530 475.399286 75.662146 475.407145 75.663397 0.005750 0.001543 0.019448 -0.309975 0.000001
2.000000 -2.801811 -0.801811 480.432875 76.463267 480.441045 76.464567 0.005832 0.001669 0.258904 -0.228668 0.000001
3.000000 -0.756747 1.243253 491.572436 78.236183 491.573019 78.236276 0.001539 -0.002529 0.007944 -0.010326 0.000001
4.000000 -2.496312 -0.496312 495.797658 78.908648 495.803942 78.909648 0.005035 0.001001 0.128571 -0.270405 -0.000001
