# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.59375140 -0.59375140 82.42790531 13.11880858 82.46870388 13.12530187 0.03145134 0.00719972 -0.03730273 -1.26524822 -0.00007103
2.00000000 -2.64550399 -0.64550399 112.63873335 17.92701120 112.66979605 17.93195498 0.02348015 0.00572917 -0.02811037 1.70328059 0.00005114
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -3.776193 -1.776193 215.563141 34.307939 215.596213 34.313203 0.017515 0.008239 -0.244137 -0.616714 -0.000005
2.000000 -3.774945 -1.774945 235.310065 37.450760 235.340343 37.455579 0.016040 0.007542 0.545210 3.972816 0.000019
3.000000 -5.088559 -3.088559 247.571866 39.402286 247.624156 39.410608 0.020550 0.012473 -0.162102 0.006336 0.000005
# Bieguny w przedziale od 55 do 67.8 Hz
1.000000 -2.325145 -0.325145 367.351867 58.465865 367.359225 58.467037 0.006329 0.000885 0.072614 0.053935 0.000001
2.000000 -6.310254 -4.310254 383.464057 61.030200 383.515974 61.038463 0.016454 0.011239 0.487666 1.187108 0.000001
3.000000 -3.816709 -1.816709 411.184995 65.442124 411.202708 65.444944 0.009282 0.004418 0.146671 0.171943 0.000001
# Bieguny w przedziale od 68 do 74 Hz
1.000000 -3.384359 -1.384359 448.915139 71.447063 448.927896 71.449094 0.007539 0.003084 0.187232 1.554759 0.000002
2.000000 -2.737858 -0.737858 456.562357 72.664156 456.570566 72.665462 0.005997 0.001616 -0.029913 0.118332 0.000001
# Bieguny w przedziale od 74 do 80 Hz
1.000000 -2.084353 -0.084353 480.824056 76.525525 480.828574 76.526244 0.004335 0.000175 0.098396 -0.000669 0.000001
2.000000 -2.778086 -0.778086 494.971226 78.777117 494.979022 78.778358 0.005613 0.001572 0.214142 0.099630 0.000001
