# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.46191064 -0.46191064 82.59674538 13.14568031 82.63342757 13.15151846 0.02979316 0.00558988 0.10767864 1.04135396 0.00006259
2.00000000 -2.78226391 -0.78226391 112.54812630 17.91259064 112.58251074 17.91806309 0.02471311 0.00694836 0.01336509 2.20748368 0.00006323
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -7.207529 -5.207529 213.300630 33.947850 213.422368 33.967225 0.033771 0.024400 0.128026 -0.497899 -0.000008
2.000000 -3.546856 -1.546856 235.585827 37.494649 235.612525 37.498898 0.015054 0.006565 -0.634412 -6.638826 -0.000034
3.000000 -2.413468 -0.413468 289.866721 46.133722 289.876769 46.135321 0.008326 0.001426 -0.020893 0.055990 0.000001
# Bieguny w przedziale od 50 do 70 Hz
1.000000 -6.731176 -4.731176 328.541126 52.288944 328.610073 52.299918 0.020484 0.014398 -0.012776 0.111336 0.000000
2.000000 -7.853795 -5.853795 341.999141 54.430854 342.089308 54.445204 0.022958 0.017112 0.134525 -0.140439 -0.000000
3.000000 -6.282412 -4.282412 361.094622 57.469994 361.149269 57.478691 0.017396 0.011858 0.166549 -0.048838 -0.000000
4.000000 -5.928433 -3.928433 378.347615 60.215893 378.394059 60.223285 0.015667 0.010382 -0.095325 -0.073109 -0.000000
5.000000 -4.513795 -2.513795 412.752973 65.691676 412.777653 65.695604 0.010935 0.006090 0.166519 0.283794 0.000000
6.000000 -7.867105 -5.867105 420.285857 66.890572 420.359481 66.902289 0.018715 0.013957 -0.440347 0.113716 0.000000
7.000000 -2.281003 -0.281003 430.967942 68.590678 430.973978 68.591639 0.005293 0.000652 0.061400 -0.087412 -0.000000
# Bieguny w przedziale od 70 do 80 Hz
1.000000 -3.284873 -1.284873 448.413820 71.367276 448.425852 71.369191 0.007325 0.002865 -0.117021 -0.593615 -0.000001
2.000000 -20.543169 -18.543169 468.888816 74.625973 469.338623 74.697562 0.043770 0.039509 -1.015101 2.123777 0.000000
3.000000 -10.329469 -8.329469 477.063462 75.927008 477.175277 75.944804 0.021647 0.017456 -0.275811 -0.814183 0.000000
