# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.69032498 -0.69032498 82.02023534 13.05392589 82.06434582 13.06094629 0.03278312 0.00841200 0.19474562 1.16510122 0.00007315
2.00000000 -3.24419271 -1.24419271 111.13015736 17.68691387 111.17750070 17.69444880 0.02918030 0.01119105 0.40407111 2.77842861 0.00007447
3.00000000 -11.01897428 -9.01897428 211.98415609 33.73832630 212.27034703 33.78387500 0.05191010 0.04248815 5.74882893 5.42397189 0.00001820
4.00000000 -3.52409402 -1.52409402 236.62512904 37.66005895 236.65137002 37.66423533 0.01489150 0.00644025 -1.69517805 -0.63018558 -0.00000471
5.00000000 -11.33470080 -9.33470080 291.47141917 46.38911713 291.69172706 46.42418022 0.03885849 0.03200194 0.14243311 -0.25729802 0.00000215
6.00000000 -6.70600831 -4.70600831 308.64802821 49.12285937 308.72087047 49.13445257 0.02172191 0.01524357 0.41529438 0.34531889 0.00000240
# Bieguny w przedziale od 50 do 80 Hz
1.00000000 -6.75890322 -4.75890322 332.46006813 52.91266322 332.52876518 52.92359670 0.02032577 0.01431125 -0.36059531 0.27344939 0.00000157
2.00000000 -0.77985873 1.22014127 351.37322846 55.92278618 351.37409389 55.92292392 0.00221945 -0.00347249 0.00708378 0.02071622 0.00000252
3.00000000 -18.55723961 -16.55723961 373.56277112 59.45436158 374.02341519 59.52767536 0.04961518 0.04426792 -2.91534087 11.72550644 0.00000593
4.00000000 -5.69430493 -3.69430493 383.86805095 61.09449780 383.91028333 61.10121930 0.01483238 0.00962283 0.31706085 -1.77211052 0.00000522
5.00000000 -6.93837748 -4.93837748 411.80866449 65.54138456 411.86711113 65.55068663 0.01684616 0.01199022 2.50516696 -0.70228434 0.00000626
6.00000000 -4.30256712 -2.30256712 425.95737475 67.79322174 425.97910416 67.79668008 0.01010042 0.00540535 1.00902510 0.16718312 -0.00000534
7.00000000 -4.57302282 -2.57302282 448.02464399 71.30533672 448.04798199 71.30905108 0.01020655 0.00574274 -4.42080683 -1.81309973 -0.00000217
8.00000000 -4.77504232 -2.77504232 462.09996524 73.54549367 462.12463568 73.54942009 0.01033280 0.00600497 -0.81982368 1.19778670 0.00000402
9.00000000 -4.21320107 -2.21320107 479.27220400 76.27854035 479.29072241 76.28148765 0.00879049 0.00461766 1.47299134 0.32067778 0.00000636
10.00000000 -5.96251045 -3.96251045 495.99939674 78.94075576 496.03523373 78.94645940 0.01202034 0.00798836 2.33651032 -1.20231689 -0.00000654
11.00000000 -0.89002448 1.10997552 497.99527934 79.25841034 497.99607467 79.25853692 0.00178721 -0.00222888 -0.01591871 -0.02870255 -0.00000618
# Bieguny w przedziale od 80 do 100 Hz
1.00000000 -4.05228285 -2.05228285 513.87134508 81.78516468 513.88732256 81.78770758 0.00788555 0.00399364 1.29151495 -0.11809803 -0.00000643
2.00000000 -3.87471427 -1.87471427 543.95876568 86.57372640 543.97256564 86.57592273 0.00712300 0.00344634 -0.81560422 -0.46318915 -0.00000702
3.00000000 -37.19649283 -35.19649283 558.34578534 88.86349169 559.58341209 89.06046611 0.06647176 0.06289767 49.85012885 -39.48289113 -0.00000880
4.00000000 -3.97580185 -1.97580185 568.88840674 90.54140200 568.90229945 90.54361309 0.00698855 0.00347301 -5.14950301 -4.46296812 -0.00000937
5.00000000 -0.26616493 1.73383507 600.29364243 95.53970050 600.29370144 95.53970989 0.00044339 -0.00288831 -0.07815421 0.00334513 -0.00000655
6.00000000 -11.95900516 -9.95900516 617.73965076 98.31631896 617.85539888 98.33474085 0.01935567 0.01611867 -17.50177438 -22.26951062 -0.00000892
7.00000000 -2.57641951 -0.57641951 621.77399487 98.95840477 621.77933275 98.95925432 0.00414362 0.00092705 -0.91108267 2.37953688 -0.00000679
