# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.51413541 -0.51413541 82.12104375 13.06997004 82.15951985 13.07609371 0.03060066 0.00625777 0.15757934 1.02802895 0.00006468
2.00000000 -3.14077985 -1.14077985 111.62752574 17.76607251 111.67170188 17.77310336 0.02812512 0.01021548 0.25375614 1.59684124 0.00004334
3.00000000 -18.66794652 -16.66794652 163.56168504 26.03165068 164.62356162 26.20065358 0.11339778 0.10124885 0.62279029 -0.70536384 -0.00000606
4.00000000 -15.69148821 -13.69148821 202.06928662 32.16032581 202.67762432 32.25714576 0.07742092 0.06755303 3.12398442 -3.59066544 -0.00000935
5.00000000 -6.10063691 -4.10063691 215.80689557 34.34673418 215.89310768 34.36045527 0.02825767 0.01899383 -2.51874639 -0.22300009 -0.00001066
6.00000000 -3.08433563 -1.08433563 235.25212130 37.44153798 235.27233943 37.44475579 0.01310964 0.00460885 0.72774973 1.63977205 0.00000935
# Bieguny w przedziale od 42 do 63 Hz
1.000000 -2.227985 -0.227985 277.605237 44.182246 277.614178 44.183669 0.008025 0.000821 -0.007581 -0.000191 0.000000
2.000000 -7.269742 -5.269742 288.667887 45.942921 288.759412 45.957488 0.025176 0.018250 0.123406 -0.068685 0.000000
3.000000 -8.098435 -6.098435 305.407816 48.607164 305.515170 48.624249 0.026507 0.019961 0.113156 0.141498 0.000000
4.000000 -5.889399 -3.889399 324.336009 51.619679 324.389475 51.628188 0.018155 0.011990 -0.039084 0.156854 0.000001
5.000000 -8.492209 -6.492209 347.207963 55.259864 347.311801 55.276390 0.024451 0.018693 0.351327 -0.552297 -0.000001
6.000000 -3.535837 -1.535837 356.769892 56.781692 356.787413 56.784480 0.009910 0.004305 0.044795 -0.046300 -0.000001
7.000000 -8.950762 -6.950762 372.557168 59.294315 372.664674 59.311425 0.024018 0.018652 -0.452878 -0.605239 -0.000001
8.000000 -4.086098 -2.086098 384.923174 61.262426 384.944861 61.265877 0.010615 0.005419 0.120329 0.013774 0.000000
# Bieguny w przedziale od 63 do 70 Hz
1.000000 -6.867950 -4.867950 402.785453 64.105296 402.844002 64.114614 0.017049 0.012084 -1.042754 -0.216715 0.000001
2.000000 -4.310210 -2.310210 426.562782 67.889575 426.584557 67.893041 0.010104 0.005416 1.135284 -0.264471 0.000001
# Bieguny w przedziale od 70 do 80 Hz
1.000000 -4.469910 -2.469910 448.901002 71.444813 448.923256 71.448355 0.009957 0.005502 -1.239676 0.461641 0.000002
2.000000 -4.402107 -2.402107 453.753067 72.217044 453.774420 72.220442 0.009701 0.005294 -0.359534 -0.327837 0.000002
3.000000 -2.527618 -0.527618 474.714159 75.553105 474.720888 75.554176 0.005324 0.001111 -0.048430 -0.168470 0.000003
4.000000 -16.554791 -14.554791 495.148583 78.805345 495.425252 78.849378 0.033415 0.029378 18.622316 -0.705283 -0.000003
5.000000 -2.366685 -0.366685 496.995665 79.099317 497.001300 79.100214 0.004762 0.000738 -0.201428 0.276523 -0.000003
6.000000 -4.887210 -2.887210 501.018875 79.739631 501.042711 79.743424 0.009754 0.005762 -2.557334 0.857694 -0.000002
