# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.48845881 -0.48845881 83.18992670 13.24008805 83.22713699 13.24601025 0.02989961 0.00586898 0.01469060 0.13927430 0.00000816
2.00000000 -2.62058723 -0.62058723 113.85553579 18.12067132 113.88569053 18.12547059 0.02301068 0.00544921 -0.00808334 -0.16917027 -0.00000492
3.00000000 -44.95214277 -42.95214277 208.49115959 33.18239864 213.28211076 33.94490220 0.21076377 0.20138652 0.18519712 0.36975548 -0.00000125
4.00000000 -3.77640196 -1.77640196 215.96965855 34.37263872 216.00267273 34.37789309 0.01748313 0.00822398 -0.25104049 -0.49574969 -0.00000326
5.00000000 -2.54418216 -0.54418216 236.94631154 37.71117673 236.95997007 37.71335055 0.01073676 0.00229652 0.07135727 0.55759497 0.00000377
#6.00000000 -1.82512800 0.17487200 368.35727474 58.62588110 368.36179626 58.62660072 0.00495472 -0.00047473 -0.00050937 -0.18548051 0.00000034
7.00000000 -7.14060367 -5.14060367 381.04295081 60.64486915 381.10985107 60.65551666 0.01873634 0.01348851 0.72847119 1.26583913 0.00000166
8.00000000 -2.97933868 -0.97933868 410.31086024 65.30300161 410.32167685 65.30472313 0.00726098 0.00238676 -0.60163417 -1.97490224 -0.00000414
9.00000000 -3.97462077 -1.97462077 441.72565597 70.30282164 441.74353731 70.30566754 0.00899758 0.00447006 0.48333049 -1.64513167 -0.00000290
10.00000000 -2.53130595 -0.53130595 449.51588525 71.54267514 449.52301232 71.54380944 0.00563109 0.00118193 -0.73843190 -1.18726043 -0.00000393
11.00000000 -8.11430896 -6.11430896 471.35572185 75.01859309 471.42555990 75.02970816 0.01721228 0.01296983 -0.40130429 0.92374386 0.00000096
12.00000000 -1.14028464 0.85971536 475.73484216 75.71555173 475.73620873 75.71576923 0.00239688 -0.00180713 -0.01386977 0.02608130 0.00000070
