# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.50589429 -0.50589429 82.76002586 13.17166721 82.79795521 13.17770385 0.03026517 0.00610999 -0.03721638 -0.52318299 -0.00003125
2.00000000 -2.71589310 -0.71589310 112.97412181 17.98038993 113.00676208 17.98558479 0.02403301 0.00633496 -0.03333460 -1.53154195 -0.00004478
# Bieguny w przedziale od 25 do 50 Hz
1.000000 -3.565068 -1.565068 236.423170 37.627916 236.450048 37.632194 0.015077 0.006619 0.523992 4.640854 0.000024
# Bieguny w przedziale od 55 do 75 Hz
1.000000 -7.273005 -5.273005 363.296865 57.820492 363.369659 57.832077 0.020015 0.014511 0.030594 0.169500 0.000001
2.000000 -5.884567 -3.884567 381.068988 60.649013 381.114421 60.656244 0.015440 0.010193 0.566438 0.897523 0.000001
3.000000 -2.099054 -0.099054 409.561769 65.183780 409.567148 65.184636 0.005125 0.000242 -0.213186 0.228982 0.000001
4.000000 -7.742488 -5.742488 411.261845 65.454356 411.334719 65.465954 0.018823 0.013961 1.076132 0.380440 0.000001
5.000000 -2.924070 -0.924070 448.999186 71.460440 449.008707 71.461955 0.006512 0.002058 -0.161715 -1.170571 -0.000002
6.000000 -3.994468 -1.994468 464.936145 73.996886 464.953304 73.999617 0.008591 0.004290 0.000110 0.054153 -0.000000
# Bieguny w przedziale od 76 do 80 Hz
1.000000 -3.556750 -1.556750 479.771980 76.358082 479.785164 76.360180 0.007413 0.003245 0.118198 0.196730 0.000000
2.000000 -2.555878 -0.555878 494.495743 78.701442 494.502348 78.702493 0.005169 0.001124 -0.134754 -0.001120 -0.000000
3.000000 -3.255286 -1.255286 498.687552 79.368589 498.698176 79.370280 0.006528 0.002517 -0.155356 -0.186383 -0.000000
