# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.61421084 -0.61421084 81.79548209 13.01815530 81.83724695 13.02480238 0.03194402 0.00750527 -0.14268787 -0.87564280 -0.00005313
2.00000000 -3.05981550 -1.05981550 111.23674141 17.70387725 111.27881699 17.71057379 0.02749684 0.00952396 -0.53734552 -1.83149968 -0.00005116
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -9.047847 -7.047847 212.323637 33.792356 212.516329 33.823024 0.042575 0.033164 4.232607 3.410031 0.000012
2.000000 -3.279075 -1.279075 235.604576 37.497633 235.627394 37.501264 0.013916 0.005428 -1.463644 -2.252706 -0.000014
# Bieguny w przedziale od 45 do 78 Hz
1.000000 -2.565565 -0.565565 297.503364 47.349131 297.514426 47.350891 0.008623 0.001901 0.066800 -0.003723 -0.000001
2.000000 -3.494460 -1.494460 310.487716 49.415655 310.507380 49.418784 0.011254 0.004813 -0.195360 0.010688 0.000001
3.000000 -2.210198 -0.210198 340.414699 54.178682 340.421874 54.179824 0.006493 0.000617 -0.135024 -0.020443 0.000001
4.000000 -3.117622 -1.117622 380.398598 60.542317 380.411373 60.544350 0.008195 0.002938 0.451376 -0.055389 0.000002
5.000000 -38.126046 -36.126046 379.665142 60.425584 381.574653 60.729492 0.099918 0.094676 7.715931 10.065136 0.000002
6.000000 -5.890928 -3.890928 414.701111 66.001732 414.742950 66.008391 0.014204 0.009382 -0.374243 -0.606913 -0.000002
7.000000 -3.110992 -1.110992 447.129221 71.162826 447.140043 71.164548 0.006958 0.002485 1.066396 -1.090680 -0.000003
8.000000 -38.822161 -36.822161 463.579673 73.780996 465.202400 74.039262 0.083452 0.079153 -22.620571 -0.901212 -0.000002
9.000000 -7.567228 -5.567228 478.036948 76.081943 478.096838 76.091475 0.015828 0.011645 -0.892861 -2.155227 -0.000002
10.000000 -3.669446 -1.669446 486.360871 77.406737 486.374713 77.408940 0.007544 0.003432 0.262898 -0.376343 0.000002
