# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.57074212 -0.57074212 82.69541462 13.16138401 82.73536314 13.16774201 0.03107187 0.00689841 0.05944502 0.68040603 0.00003884
2.00000000 -2.64061039 -0.64061039 113.08615723 17.99822092 113.11698272 18.00312695 0.02334407 0.00566326 -0.01685053 -0.84152043 -0.00002508
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -2.783345 -0.783345 216.764750 34.499181 216.782619 34.502025 0.012839 0.003614 0.215442 0.352822 0.000004
2.000000 -2.917187 -0.917187 236.360689 37.617972 236.378690 37.620837 0.012341 0.003880 -0.112531 -1.663337 -0.000010
3.000000 -125.638470 -123.638470 277.000726 44.086035 304.161844 48.408861 0.413065 0.406489 -3.340209 0.327894 0.000001
# Bieguny w przedziale od 55 do 77 Hz
1.000000 -6.135583 -4.135583 362.820985 57.744753 362.872860 57.753009 0.016908 0.011397 0.469194 0.147369 0.000001
2.000000 -15.074647 -13.074647 377.088939 60.015569 377.390134 60.063505 0.039944 0.034645 -1.430827 2.742390 0.000002
3.000000 -5.019785 -3.019785 382.448178 60.868518 382.481120 60.873761 0.013124 0.007895 1.169963 -0.010208 0.000002
4.000000 -2.828627 -0.828627 411.107152 65.429735 411.116883 65.431284 0.006880 0.002016 -0.595912 -0.609343 -0.000002
5.000000 -18.366093 -16.366093 421.834204 67.136999 422.233832 67.200602 0.043497 0.038761 -1.570577 -2.236387 -0.000001
6.000000 -3.273271 -1.273271 442.780833 70.470758 442.792932 70.472684 0.007392 0.002876 0.198656 1.323552 0.000003
7.000000 -2.711170 -0.711170 448.987478 71.458577 448.995664 71.459879 0.006038 0.001584 0.419562 1.482171 0.000004
8.000000 -4.818111 -2.818111 465.461659 74.080524 465.486595 74.084492 0.010351 0.006054 0.422515 -0.800117 -0.000001
9.000000 -5.008665 -3.008665 474.083421 75.452720 474.109879 75.456931 0.010564 0.006346 0.367497 -0.273818 -0.000001
# Bieguny w przedziale od 77 do 80 Hz
1.000000 -2.099720 -0.099720 495.188474 78.811693 495.192926 78.812402 0.004240 0.000201 -0.127409 0.012637 -0.000000
