# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.53209024 -0.53209024 82.59866473 13.14598578 82.63746666 13.15216130 0.03064095 0.00643885 -0.07523528 -0.94475924 -0.00005485
2.00000000 -2.70210670 -0.70210670 112.97487610 17.98050998 113.00718566 17.98565220 0.02391093 0.00621294 0.05584463 1.32319593 0.00003845
# Bieguny w przedziale od 25 do 55 Hz
1.000000 -4.354551 -2.354551 215.752463 34.338071 215.796403 34.345064 0.020179 0.010911 0.216981 1.205072 0.000006
2.000000 -3.942821 -1.942821 236.507399 37.641322 236.540262 37.646552 0.016669 0.008213 -0.465133 -3.267169 -0.000016
3.000000 -24.108407 -22.108407 292.695057 46.583865 293.686247 46.741618 0.082089 0.075279 -0.257885 -0.175648 0.000001
# Bieguny w przedziale od 55 do 66.2 Hz
1.000000 -2.903034 -0.903034 361.015755 57.457442 361.027427 57.459300 0.008041 0.002501 0.055232 -0.107406 -0.000000
2.000000 -3.823358 -1.823358 381.690446 60.747921 381.709595 60.750969 0.010016 0.004777 -0.128081 -0.106358 -0.000001
3.000000 -3.252573 -1.252573 411.013439 65.414821 411.026309 65.416869 0.007913 0.003047 0.346346 0.341587 0.000001
# Bieguny w przedziale od 66.2 do 73 Hz
1.000000 -4.184917 -2.184917 442.901501 70.489963 442.921272 70.493110 0.009448 0.004933 -0.028276 0.706187 0.000001
# Bieguny w przedziale od 73 do 80 Hz
1.000000 -2.874491 -0.874491 465.559210 74.096050 465.568084 74.097462 0.006174 0.001878 0.026630 -0.140826 -0.000000
2.000000 -4.760759 -2.760759 476.441839 75.828074 476.465624 75.831859 0.009992 0.005794 -0.145495 0.557628 0.000001
3.000000 -2.934741 -0.934741 487.206079 77.541256 487.214918 77.542663 0.006024 0.001919 -0.080733 -0.069146 0.000000
4.000000 -2.908861 -0.908861 495.226163 78.817692 495.234706 78.819051 0.005874 0.001835 -0.056345 -0.066826 0.000000
