# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.69075125 -0.69075125 82.74936763 13.16997090 82.79310349 13.17693167 0.03249970 0.00834310 0.12880115 0.97479207 0.00005384
2.00000000 -2.80352177 -0.80352177 112.97051993 17.97981667 113.00530124 17.98535229 0.02480876 0.00711048 0.10347069 1.85231874 0.00005276
3.00000000 -4.78528456 -2.78528456 144.58555142 23.01150521 144.66471798 23.02410496 0.03307845 0.01925338 0.02966697 -0.01450902 0.00000478
# Bieguny w przedziale od 31 do 73 Hz
1.000000 -9.263533 -7.263533 210.444275 33.493247 210.648061 33.525680 0.043976 0.034482 -0.417113 0.176781 0.000003
2.000000 -3.370217 -1.370217 236.073944 37.572335 236.097999 37.576164 0.014275 0.005804 0.432034 5.143594 0.000028
3.000000 -2.588631 -0.588631 316.673287 50.400119 316.683867 50.401803 0.008174 0.001859 0.007951 -0.050638 -0.000003
4.000000 -3.199930 -1.199930 382.295964 60.844292 382.309356 60.846424 0.008370 0.003139 -0.462002 -0.237719 -0.000002
5.000000 -133.515478 -131.515478 398.411448 63.409151 420.188130 66.875018 0.317752 0.312992 24.114442 -12.718785 -0.000002
6.000000 -4.333784 -2.333784 428.472068 68.193448 428.493984 68.196936 0.010114 0.005446 -1.271649 -0.471063 -0.000002
7.000000 -2.751393 -0.751393 449.238912 71.498593 449.247337 71.499934 0.006124 0.001673 -0.541822 -0.804726 -0.000002
# Bieguny w przedziale od 73 do 79.8 Hz
1.000000 -5.703266 -3.703266 464.959148 74.000547 464.994126 74.006114 0.012265 0.007964 -0.046956 -0.270462 -0.000001
2.000000 -16.326888 -14.326888 471.155940 74.986797 471.438741 75.031806 0.034632 0.030390 2.859355 1.065462 -0.000001
3.000000 -3.488991 -1.488991 478.123493 76.095717 478.136223 76.097743 0.007297 0.003114 -0.162051 -0.082620 -0.000001
4.000000 -2.581706 -0.581706 493.431765 78.532105 493.438519 78.533179 0.005232 0.001179 -0.018374 -0.104608 -0.000001
