# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.68540224 -0.68540224 82.50649584 13.13131665 82.55018619 13.13827019 0.03253054 0.00830286 0.08570899 1.30412483 0.00007277
2.00000000 -2.79692889 -0.79692889 112.27740319 17.86950372 112.31223477 17.87504733 0.02490315 0.00709566 -0.11914991 -1.80247244 -0.00005017
# Bieguny w przedziale od 30 do 45 Hz
1.000000 -5.042482 -3.042482 215.461701 34.291795 215.520698 34.301184 0.023397 0.014117 -0.598240 -1.305865 -0.000008
2.000000 -3.915992 -1.915992 235.584612 37.494455 235.617156 37.499635 0.016620 0.008132 1.566418 4.343201 0.000020
3.000000 -4.512991 -2.512991 241.377697 38.416454 241.419882 38.423168 0.018694 0.010409 -0.753436 -0.006095 0.000008
# Bieguny w przedziale od 55 do 62 Hz
1.000000 -16.350192 -14.350192 357.622937 56.917458 357.996499 56.976912 0.045671 0.040085 0.671602 -1.095337 -0.000001
2.000000 -3.508154 -1.508154 365.032605 58.096743 365.049462 58.099426 0.009610 0.004131 -0.118265 -0.141971 -0.000001
3.000000 -2.295556 -0.295556 380.975887 60.634196 380.982802 60.635296 0.006025 0.000776 -0.084238 0.037000 0.000001
# Bieguny w przedziale od 62 do 74 Hz
1.000000 -4.676263 -2.676263 410.936044 65.402503 410.962650 65.406737 0.011379 0.006512 0.091414 2.477922 0.000003
2.000000 -3.017057 -1.017057 412.636604 65.673155 412.647633 65.674911 0.007311 0.002465 0.345930 -0.601563 0.000002
3.000000 -4.432168 -2.432168 443.295607 70.552687 443.317764 70.556213 0.009998 0.005486 -0.064771 1.187739 0.000002
4.000000 -2.209043 -0.209043 448.603351 71.397441 448.608790 71.398306 0.004924 0.000466 0.217194 0.444451 0.000002
# Bieguny w przedziale od 74 do 80 Hz
1.000000 -3.512158 -1.512158 465.944623 74.157390 465.957859 74.159497 0.007538 0.003245 0.005362 -0.155584 -0.000001
2.000000 -2.348949 -0.348949 480.315464 76.444580 480.321208 76.445495 0.004890 0.000726 0.007755 0.183148 0.000000
3.000000 -4.183218 -2.183218 492.769176 78.426650 492.786932 78.429476 0.008489 0.004430 -0.207699 0.151709 0.000000
