# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
# Bieguny w przedziale od 11 do 42 Hz
1.00000000 -2.53848440 -0.53848440 82.78672425 13.17591639 82.82563380 13.18210903 0.03064854 0.00650142 0.35466884 1.29524186 0.00008172
2.00000000 -2.77347395 -0.77347395 112.90256922 17.96900198 112.93662955 17.97442285 0.02455779 0.00684874 0.22808359 2.57951073 0.00007907
3.00000000 -11.55608633 -9.55608633 156.75681321 24.94862169 157.18219243 25.01632289 0.07352033 0.06079624 0.07204291 -0.23517951 0.00000202
4.00000000 -4.52885138 -2.52885138 215.80505131 34.34644066 215.85256696 34.35400301 0.02098123 0.01171564 0.22796423 0.37410182 0.00000714
5.00000000 -3.06412981 -1.06412981 236.19395239 37.59143505 236.21382694 37.59459818 0.01297185 0.00450494 0.46592971 8.34422820 0.00005002
# Bieguny w przedziale od 42 do 63 Hz
1.00000000 -5.66756002 -3.66756002 337.51835656 53.71771483 337.56593763 53.72528759 0.01678949 0.01086472 -0.01160937 0.06604156 0.00000174
2.00000000 -4.94928172 -2.94928172 382.49232859 60.87554479 382.52434801 60.88064084 0.01293848 0.00771005 1.28960269 1.05031994 0.00000373
# Bieguny w przedziale od 63 do 78 Hz
1.00000000 -1.98939175 0.01060825 409.85304413 65.23013791 409.85787227 65.23090634 0.00485386 -0.00002588 -0.00015354 0.10152267 0.00000241
2.00000000 -4.71615607 -2.71615607 427.88728770 68.10037692 427.91327755 68.10451334 0.01102129 0.00634745 3.01846080 2.57067886 0.00000579
3.00000000 -3.34237559 -1.34237559 448.98810688 71.45867660 449.00054743 71.46065658 0.00744403 0.00298970 1.56997255 1.54631061 0.00000482
4.00000000 -10.74245592 -8.74245592 469.50396655 74.72387708 469.62684651 74.74343403 0.02287445 0.01861575 1.58079941 -0.86974097 0.00000174
5.00000000 -7.18388744 -5.18388744 478.18261802 76.10512736 478.23657787 76.11371534 0.01502162 0.01083959 0.59613859 0.64302055 0.00000174
