# Lp. sigma sigma_kor w_t�. f_t�. w_nie_t�. f_nie_t�. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -3.16121528 -1.16121528 81.82601505 13.02301477 81.88705649 13.03272982 0.03860458 0.01418069 0.03289526 0.82372359 0.00004795
2.00000000 -3.06479511 -1.06479511 111.13707274 17.68801449 111.17932320 17.69473886 0.02756623 0.00957728 0.11724731 2.14637995 0.00005797
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -14.774869 -12.774869 169.577175 26.989046 170.219608 27.091292 0.086799 0.075049 -0.050546 -0.547430 0.000004
2.000000 -8.632668 -6.632668 213.641558 34.002110 213.815898 34.029857 0.040374 0.031020 4.196947 2.829048 0.000017
3.000000 -3.238541 -1.238541 234.964832 37.395814 234.987149 37.399366 0.013782 0.005271 -1.250596 -1.838911 -0.000012
4.000000 -4.464213 -2.464213 267.485432 42.571629 267.522683 42.577557 0.016687 0.009211 0.091356 -0.044561 -0.000004
# Bieguny w przedziale od 45 do 80 Hz
1.000000 -2.256758 -0.256758 293.717883 46.746653 293.726553 46.748033 0.007683 0.000874 0.007944 0.007423 -0.000004
2.000000 -5.946033 -3.946033 307.612615 48.958068 307.670077 48.967214 0.019326 0.012826 -0.030813 0.346172 -0.000004
3.000000 -34.815971 -32.815971 316.750738 50.412446 318.658410 50.716061 0.109258 0.102982 6.245444 -4.913048 -0.000004
4.000000 -8.003432 -6.003432 352.954261 56.174415 353.044991 56.188855 0.022670 0.017005 0.521009 -0.500978 -0.000004
5.000000 -5.479381 -3.479381 377.052885 60.009830 377.092696 60.016167 0.014531 0.009227 -0.825136 -0.456660 -0.000004
6.000000 -10.411054 -8.411054 413.035474 65.736637 413.166665 65.757517 0.025198 0.020358 -4.249730 -0.257696 -0.000003
7.000000 -3.954902 -1.954902 419.969504 66.840223 419.988126 66.843186 0.009417 0.004655 -0.667230 -1.439454 -0.000003
8.000000 -2.428620 -0.428620 447.415440 71.208379 447.422032 71.209428 0.005428 0.000958 -0.059498 -0.670591 -0.000003
9.000000 -3.376537 -1.376537 465.829097 74.139003 465.841334 74.140951 0.007248 0.002955 -0.205644 0.018670 -0.000003
10.000000 -26.991707 -24.991707 474.621266 75.538321 475.388155 75.660375 0.056778 0.052571 -12.854064 -17.155618 -0.000003
11.000000 -6.697143 -4.697143 486.012461 77.351286 486.058601 77.358629 0.013778 0.009664 0.838135 -0.055605 -0.000003
