# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.50827291 -0.50827291 82.82936507 13.18270288 82.86733464 13.18874593 0.03026854 0.00613357 -0.12896289 -0.85850497 -0.00005075
2.00000000 -2.66469761 -0.66469761 113.01546831 17.98697043 113.04687829 17.99196948 0.02357162 0.00587984 -0.11579158 -1.87500987 -0.00005590
3.00000000 -9.41788771 -7.41788771 139.17748174 22.15078419 139.49576350 22.20144030 0.06751379 0.05317644 -0.07452443 -0.02536867 -0.00000602
# Bieguny w przedziale od 30 do 72.5 Hz
1.000000 -5.612088 -3.612088 209.270228 33.306391 209.345465 33.318366 0.026808 0.017254 0.299329 -0.034633 -0.000002
2.000000 -3.207639 -1.207639 236.333671 37.613672 236.355438 37.617136 0.013571 0.005109 -0.195020 -5.268827 -0.000030
3.000000 -3.566380 -1.566380 324.274570 51.609901 324.294181 51.613022 0.010997 0.004830 0.048924 0.089386 0.000003
4.000000 -3.280308 -1.280308 384.637422 61.216947 384.651410 61.219173 0.008528 0.003328 0.450895 0.151914 0.000001
5.000000 -141.990179 -139.990179 366.758000 58.371349 393.284428 62.593161 0.361037 0.355951 -25.774946 8.459101 0.000002
6.000000 -4.428970 -2.428970 429.131459 68.298393 429.154313 68.302030 0.010320 0.005660 1.069820 0.258457 0.000001
7.000000 -2.598396 -0.598396 448.847150 71.436243 448.854671 71.437440 0.005789 0.001333 0.341193 0.963372 0.000002
# Bieguny w przedziale od 72.5 do 80 Hz
1.000000 -10.390389 -8.390389 462.032368 73.534735 462.149185 73.553327 0.022483 0.018155 -0.973078 0.039849 0.000001
2.000000 -5.948070 -3.948070 490.571778 78.076923 490.607836 78.082662 0.012124 0.008047 -0.259958 0.240235 0.000001
