# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.58607108 -0.58607108 82.29335364 13.09739402 82.33397730 13.10385947 0.03140952 0.00711822 -0.19388293 -1.00451823 -0.00005846
2.00000000 -3.01019985 -1.01019985 110.98107895 17.66318731 111.02189509 17.66968339 0.02711357 0.00909910 0.07543661 1.16974405 0.00002978
3.00000000 -21.52933838 -19.52933838 205.86821047 32.76494332 206.99089954 32.94362484 0.10401104 0.09434878 5.13941912 -3.58911790 -0.00001801
4.00000000 -4.85938691 -2.85938691 213.41543067 33.96612072 213.47074669 33.97492454 0.02276371 0.01339475 -3.25219304 -2.87433550 -0.00002271
5.00000000 -4.29840722 -2.29840722 235.35832044 37.45844010 235.39756860 37.46468663 0.01826020 0.00976394 -0.96907365 -1.66945829 -0.00001164
6.00000000 -2.45195789 -0.45195789 252.83001152 40.23914610 252.84190085 40.24103834 0.00969759 0.00178751 0.00477198 -0.04183948 -0.00000484
# Bieguny w przedziale od 45 do 78 Hz
1.000000 -7.649695 -5.649695 296.485532 47.187138 296.584202 47.202842 0.025793 0.019049 -0.020760 0.056494 -0.000003
2.000000 -17.354989 -15.354989 314.801553 50.102223 315.279580 50.178304 0.055046 0.048703 -0.457178 0.244671 0.000002
3.000000 -2.193798 -0.193798 322.541162 51.334020 322.548623 51.335208 0.006801 0.000601 -0.014007 0.005850 0.000002
4.000000 -7.264911 -5.264911 360.778422 57.419669 360.851561 57.431310 0.020133 0.014590 0.647501 0.227032 0.000002
5.000000 -3.772812 -1.772812 379.766530 60.441721 379.785270 60.444703 0.009934 0.004668 -0.366678 0.251673 0.000003
6.000000 -36.434986 -34.434986 392.250795 62.428653 393.939329 62.697391 0.092489 0.087412 -8.156927 10.553074 0.000002
7.000000 -3.799201 -1.799201 408.344378 64.990026 408.362051 64.992839 0.009304 0.004406 0.857529 0.481094 0.000002
8.000000 -20.527113 -18.527113 431.007199 68.596926 431.495733 68.674679 0.047572 0.042937 -6.052348 -5.061822 0.000001
9.000000 -4.990402 -2.990402 445.505407 70.904388 445.533357 70.908836 0.011201 0.006712 0.832453 -1.260741 -0.000001
10.000000 -3.879240 -1.879240 465.884626 74.147841 465.900776 74.150411 0.008326 0.004034 -0.577266 0.071307 0.000002
11.000000 -2.866467 -0.866467 475.208214 75.631736 475.216859 75.633112 0.006032 0.001823 0.356061 0.280921 0.000002
12.000000 -2.594786 -0.594786 480.277364 76.438517 480.284374 76.439632 0.005403 0.001238 0.281393 -0.281598 0.000001
