# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.53129927 -0.53129927 82.88459697 13.19149331 82.92324096 13.19764370 0.03052581 0.00640712 0.31714567 1.29671851 0.00007796
2.00000000 -4.01667212 -2.01667212 111.26934329 17.70906600 111.34181789 17.72060069 0.03607514 0.01811244 0.69920111 2.88009103 0.00006069
3.00000000 -30.47578491 -28.47578491 180.07739829 28.66020808 182.63801039 29.06774215 0.16686442 0.15591379 3.48819594 -1.81324103 -0.00000817
4.00000000 -8.10302105 -6.10302105 211.67686439 33.68941931 211.83190002 33.71409399 0.03825213 0.02881068 -3.23074581 -2.57721474 -0.00001152
5.00000000 -2.92124234 -0.92124234 235.85580333 37.53761696 235.87389348 37.54049609 0.01238476 0.00390566 0.89764229 0.97367930 0.00000682
# Bieguny w przedziale od 40 do 78 Hz
1.000000 -9.431279 -7.431279 253.152882 40.290532 253.328503 40.318483 0.037229 0.029335 -0.237721 -0.357834 -0.000001
2.000000 -8.261101 -6.261101 275.421585 43.834707 275.545450 43.854420 0.029981 0.022723 -0.095530 -0.273001 -0.000000
3.000000 -8.424523 -6.424523 303.422467 48.291185 303.539397 48.309796 0.027754 0.021165 -0.523068 -0.059707 -0.000000
4.000000 -13.017272 -11.017272 316.116418 50.311490 316.384321 50.354129 0.041144 0.034822 -0.201957 -0.847258 -0.000000
5.000000 -12.384992 -10.384992 348.839782 55.519576 349.059568 55.554556 0.035481 0.029751 -1.709490 -0.596896 0.000002
6.000000 -4.201171 -2.201171 380.501645 60.558718 380.524837 60.562409 0.011040 0.005785 0.943686 -0.138685 0.000002
7.000000 -2.300025 -0.300025 405.782210 64.582245 405.788728 64.583282 0.005668 0.000739 0.232325 0.377862 0.000003
8.000000 -5.043310 -3.043310 424.319079 67.532479 424.349049 67.537249 0.011885 0.007172 1.994819 1.568467 0.000004
9.000000 -4.090790 -2.090790 448.376627 71.361357 448.395288 71.364327 0.009123 0.004663 5.592867 2.546945 0.000009
10.000000 -5.174409 -3.174409 473.051306 75.288454 473.079605 75.292958 0.010938 0.006710 -0.825352 -0.482438 -0.000002
11.000000 -9.115146 -7.115146 483.740635 76.989713 483.826506 77.003380 0.018840 0.014706 1.887707 -2.892173 -0.000002
