# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.49992981 -0.49992981 82.95039093 13.20196475 82.98805338 13.20795891 0.03012397 0.00602412 0.04572319 0.42676362 0.00002470
2.00000000 -2.70123265 -0.70123265 113.48032539 18.06095473 113.51247028 18.06607075 0.02379679 0.00617758 0.09934955 0.66391376 0.00001982
3.00000000 -13.87668944 -11.87668944 131.78537555 20.97429395 132.51395292 21.09025064 0.10471870 0.08962595 0.08446765 0.11416965 0.00000351
4.00000000 -4.58097279 -2.58097279 156.58217715 24.92082749 156.64917335 24.93149027 0.02924352 0.01647613 -0.00058234 0.01360052 0.00000143
# Bieguny w przedziale od 26 do 45 Hz
1.000000 -12.652692 -10.652692 204.879822 32.607636 205.270144 32.669758 0.061639 0.051896 -0.573153 0.229890 0.000001
2.000000 -2.977040 -0.977040 236.735627 37.677645 236.754345 37.680624 0.012574 0.004127 0.233578 1.933271 0.000012
# Bieguny w przedziale od 55 do 75 Hz
1.000000 -15.308166 -13.308166 361.697478 57.565942 362.021278 57.617476 0.042285 0.036761 -1.233321 0.387015 -0.000002
2.000000 -25.089163 -23.089163 377.779811 60.125524 378.612007 60.257972 0.066266 0.060984 5.732395 -5.657491 -0.000002
3.000000 -5.812817 -3.812817 383.401496 61.020243 383.445558 61.027256 0.015159 0.009944 -1.099635 0.616565 -0.000001
4.000000 -2.300950 -0.300950 410.169523 65.280507 410.175976 65.281534 0.005610 0.000734 -0.038533 -0.279276 -0.000003
5.000000 -6.899459 -4.899459 426.626147 67.899660 426.681933 67.908539 0.016170 0.011483 -1.736672 -3.782201 -0.000003
6.000000 -5.649197 -3.649197 434.779306 69.197276 434.816005 69.203117 0.012992 0.008393 1.386036 0.562506 -0.000001
7.000000 -2.780655 -0.780655 448.986972 71.458496 448.995583 71.459866 0.006193 0.001739 -0.760133 -2.751783 -0.000006
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -2.034957 -0.034957 475.574396 75.690016 475.578750 75.690709 0.004279 0.000074 -0.063858 0.070903 0.000001
2.000000 -7.673534 -5.673534 490.323369 78.037388 490.383411 78.046944 0.015648 0.011570 0.551908 -0.588560 -0.000000
3.000000 -2.251675 -0.251675 499.731246 79.534698 499.736318 79.535505 0.004506 0.000504 -0.064587 -0.339453 -0.000001
