# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.55501534 -0.55501534 82.66192559 13.15605406 82.70140292 13.16233708 0.03089446 0.00671108 0.03114217 0.73613640 0.00004310
2.00000000 -2.60333152 -0.60333152 112.94911123 17.97640937 112.97910897 17.98118366 0.02304259 0.00534020 -0.01371581 -0.82630463 -0.00002419
3.00000000 -2.07935493 -0.07935493 138.43789532 22.03307535 138.45351053 22.03556059 0.01501843 0.00057315 -0.01434563 -0.01909448 -0.00000100
# Bieguny w przedziale od 25 do 45 Hz
1.000000 -3.648235 -1.648235 215.210817 34.251865 215.241738 34.256786 0.016949 0.007658 -0.267145 -0.758276 -0.000005
2.000000 -3.580964 -1.580964 236.196509 37.591842 236.223653 37.596162 0.015159 0.006693 0.322304 2.414369 0.000012
# Bieguny w przedziale od 45 do 69 Hz
1.000000 -7.728847 -5.728847 358.254389 57.017957 358.337749 57.031224 0.021569 0.015987 -0.399556 0.628316 0.000001
2.000000 -7.307318 -5.307318 387.866960 61.730944 387.935788 61.741898 0.018836 0.013681 0.430938 -0.367592 -0.000002
3.000000 -3.775713 -1.775713 409.951378 65.245788 409.968765 65.248555 0.009210 0.004331 -0.823989 -2.522834 -0.000004
# Bieguny w przedziale od 69.5 do 76.8 Hz
1.000000 -2.616768 -0.616768 448.565692 71.391447 448.573325 71.392662 0.005834 0.001375 0.312588 -0.976105 -0.000002
2.000000 -3.418144 -1.418144 465.718546 74.121409 465.731090 74.123405 0.007339 0.003045 0.079365 0.325876 0.000000
3.000000 -2.272173 -0.272173 476.438103 75.827479 476.443521 75.828341 0.004769 0.000571 0.190354 0.356839 0.000001
# Bieguny w przedziale od 76.8 do 80 Hz
1.000000 -3.696696 -1.696696 495.440574 78.851816 495.454365 78.854011 0.007461 0.003425 0.158134 -0.179066 -0.000000
