# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.28185704 -0.28185704 82.58530543 13.14385959 82.61682362 13.14887586 0.02761976 0.00341162 -0.03734736 -0.92432524 -0.00006258
2.00000000 -2.73017472 -0.73017472 112.51724208 17.90767526 112.55036037 17.91294620 0.02425736 0.00648754 -0.02265015 -2.13536389 -0.00006385
3.00000000 -33.57896880 -31.57896880 168.37922886 26.79838659 171.69482187 27.32607960 0.19557357 0.18392499 -0.50516618 1.48187704 -0.00000214
# Bieguny w przedziale od 30 do 50 Hz
1.000000 -32.742745 -30.742745 205.561126 32.716069 208.152502 33.128500 0.157302 0.147693 3.381705 1.310424 -0.000002
2.000000 -2.594314 -0.594314 224.764240 35.772340 224.779211 35.774723 0.011542 0.002644 0.324219 0.133892 -0.000009
3.000000 -3.360722 -1.360722 235.694512 37.511947 235.718470 37.515760 0.014257 0.005773 -1.077532 -5.147651 -0.000030
4.000000 -13.362443 -11.362443 282.446038 44.952683 282.761948 45.002962 0.047257 0.040184 0.247507 0.031703 0.000004
5.000000 -174.058141 -172.058141 250.870228 39.927237 305.339332 48.596264 0.570048 0.563498 -41.186108 -15.922101 -0.000008
6.000000 -3.340189 -1.340189 305.411296 48.607717 305.429561 48.610624 0.010936 0.004388 -0.011140 -0.015860 0.000003
# Bieguny w przedziale od 50 do 68.3 Hz
1.000000 -14.083550 -12.083550 320.582134 51.022231 320.891338 51.071443 0.043889 0.037656 0.480300 -0.273704 0.000003
2.000000 -11.293217 -9.293217 349.704603 55.657216 349.886905 55.686230 0.032277 0.026561 0.206432 -0.346031 0.000002
3.000000 -6.051515 -4.051515 383.619769 61.054982 383.667496 61.062579 0.015773 0.010560 0.534085 -0.174048 0.000001
4.000000 -3.766551 -1.766551 411.492996 65.491144 411.510234 65.493888 0.009153 0.004293 0.157633 -0.031921 0.000001
5.000000 -5.097542 -3.097542 427.989427 68.116633 428.019782 68.121464 0.011910 0.007237 1.151680 -0.288954 0.000000
# Bieguny w przedziale od 68.3 do 72 Hz
1.000000 -2.597842 -0.597842 447.618297 71.240665 447.625836 71.241864 0.005804 0.001336 0.291214 -0.123203 0.000001
# Bieguny w przedziale od 72 do 80 Hz
1.000000 -2.488332 -0.488332 465.907097 74.151417 465.913741 74.152475 0.005341 0.001048 0.019418 0.023974 0.000001
2.000000 -2.073639 -0.073639 477.503114 75.996981 477.507617 75.997698 0.004343 0.000154 -0.000332 0.038000 0.000001
3.000000 -9.802663 -7.802663 485.230497 77.226832 485.329504 77.242590 0.020198 0.016077 -0.739471 -0.048580 0.000001
4.000000 -2.015305 -0.015305 495.199555 78.813457 495.203656 78.814110 0.004070 0.000031 0.110585 -0.024811 0.000001
