# Lp. sigma sigma_kor w_t³. f_t³. w_nie_t³. f_nie_t³. ksi ksi_kor Re[R] Im[R] Amplituda
1.00000000 -2.48370885 -0.48370885 82.95698460 13.20301416 82.99415704 13.20893034 0.02992631 0.00582823 -0.06760459 -0.41624628 -0.00002468
2.00000000 -2.68028578 -0.68028578 113.38726770 18.04614414 113.41894201 18.05118526 0.02363173 0.00599799 -0.06472568 -0.77922570 -0.00002326
3.00000000 -6.47901898 -4.47901898 134.74587158 21.44547152 134.90154778 21.47024816 0.04802776 0.03320213 -0.03441751 -0.01819034 -0.00000335
# Bieguny w przedziale od 30 do 45 Hz
1.000000 -6.114199 -4.114199 213.218023 33.934702 213.305670 33.948652 0.028664 0.019288 0.090553 -0.347649 -0.000002
2.000000 -3.108971 -1.108971 236.514970 37.642527 236.535403 37.645779 0.013144 0.004688 -0.196763 -2.913033 -0.000017
# Bieguny w przedziale od 45 do 75 Hz
1.000000 -29.549476 -27.549476 369.016291 58.730767 370.197508 58.918763 0.079821 0.074418 -5.462489 5.085487 0.000004
2.000000 -3.765592 -1.765592 381.972938 60.792881 381.991499 60.795835 0.009858 0.004622 1.178763 1.202278 0.000004
3.000000 -4.694255 -2.694255 425.742804 67.759072 425.768682 67.763190 0.011025 0.006328 1.721908 3.654165 0.000005
4.000000 -3.154271 -1.154271 449.731616 71.577010 449.742677 71.578770 0.007014 0.002567 0.992910 1.748490 0.000004
5.000000 -2.331910 -0.331910 458.613922 72.990673 458.619851 72.991616 0.005085 0.000724 0.111352 0.097579 0.000002
# Bieguny w przedziale od 75 do 80 Hz
1.000000 -4.281987 -2.281987 476.027269 75.762093 476.046527 75.765158 0.008995 0.004794 0.201599 -0.310680 -0.000001
2.000000 -6.286601 -4.286601 495.594927 78.876382 495.634798 78.882728 0.012684 0.008649 -0.019205 0.604301 0.000000
